,GAME_DATE,TEAM_SELECTED,OPPONENT,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,MATCHUP_A,PER_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,MATCHUP_B,PER_B,WINNER
0,2008-11-12,PHI,TOR,94.85714285714286,95.0,0.43842857142857145,0.3775714285714286,0.7784285714285714,48.57142857142857,18.142857142857142,5.857142857142857,0.2857142857142857,0.0,1483.6546054646674,-3,0.0,13.539623877211906,94.14285714285714,94.57142857142857,0.4628571428571428,0.44642857142857134,0.816,36.714285714285715,13.428571428571429,5.571428571428571,0.5714285714285714,0.5,1511.011365163986,-1,1.0,13.977994426745404,A
1,2008-11-26,PHI,ORL,91.9,93.4,0.42000000000000004,0.3038,0.759,46.2,16.1,6.7,0.5,0.7142857142857143,1512.7887048586679,-1,0.0,14.30805086446894,101.0,94.1,0.445,0.34199999999999997,0.7354999999999999,42.9,13.8,7.6,0.7142857142857143,0.8,1510.6205584914496,1,1.0,14.764655301106629,B
2,2008-12-02,PHI,CHI,93.2,93.8,0.43579999999999997,0.3027,0.7139999999999999,44.4,14.9,5.3,0.4117647058823529,0.25,1478.1904223438423,-4,0.0,16.449843781584697,100.1,104.1,0.44509999999999994,0.35100000000000003,0.8271,42.2,15.5,4.3,0.47058823529411764,0.7142857142857143,1510.55991487683,1,1.0,13.274495032451814,A
3,2008-12-12,PHI,CLE,91.5,97.1,0.42169999999999996,0.26,0.7506,42.1,14.8,3.8,0.4090909090909091,0.4,1466.2194717918028,-2,0.0,12.20677407672829,107.9,87.7,0.49610000000000004,0.34169999999999995,0.7868,46.1,12.6,6.6,0.8636363636363636,1.0,1508.2447711278287,10,1.0,17.110841665282084,B
4,2008-12-19,PHI,WAS,91.7,96.6,0.4391,0.2531,0.7285999999999999,42.4,15.4,3.1,0.44,0.4,1477.8895578967,2,1.0,15.073659853570753,96.8,103.7,0.45330000000000004,0.34519999999999995,0.7505999999999999,38.7,13.9,4.3,0.17391304347826086,0.2,1484.1956935611058,-4,0.0,13.279615095966303,A
5,2008-12-20,PHI,IND,94.8,96.7,0.4468,0.2738,0.7539,41.4,15.1,3.5,0.46153846153846156,0.5,1485.802543974649,3,1.0,15.054476095300016,105.9,112.1,0.45219999999999994,0.3148,0.8269,44.7,16.2,4.0,0.34615384615384615,0.2,1495.0806752020637,-1,0.0,6.81151061013715,B
6,2008-12-23,PHI,BOS,95.0,95.9,0.44719999999999993,0.2353,0.7639,42.0,15.2,4.4,0.4444444444444444,0.5,1481.8975301106702,-1,0.0,14.950056478064852,109.0,93.8,0.5223,0.41390000000000005,0.7603,45.0,16.8,3.8,0.9285714285714286,1.0,1519.167902803737,18,1.0,21.51626719405996,B
7,2008-12-29,PHI,UTA,93.7,96.5,0.45630000000000004,0.22549999999999998,0.7438,40.4,15.9,5.0,0.41379310344827586,0.4,1462.5833314846973,-3,0.0,13.376976164045148,100.0,100.1,0.4551,0.3000999999999999,0.7845,42.0,17.0,5.9,0.5625,0.6,1512.0603280454873,-1,1.0,12.216999698805957,B
8,2008-12-31,PHI,LAC,93.6,98.6,0.4591,0.20930000000000004,0.7295999999999999,40.2,16.3,4.3,0.4,0.3,1450.4865715303877,-4,1.0,12.243961749668555,95.3,100.7,0.40549999999999997,0.28880000000000006,0.7631,45.8,13.8,5.5,0.26666666666666666,0.2,1496.118719353846,-4,0.0,10.83501869236034,A
9,2009-01-07,PHI,MIL,97.9,100.5,0.4873,0.2591,0.7146999999999999,39.1,14.9,5.4,0.4117647058823529,0.4,1459.0536625447062,1,1.0,16.307255842561137,96.5,88.9,0.45269999999999994,0.2902,0.8059,41.5,12.9,3.4,0.4722222222222222,0.8,1492.1701314313132,1,0.0,14.869795358312372,A
10,2009-01-09,PHI,CHA,99.6,102.2,0.4925999999999999,0.2624,0.7337999999999999,38.1,14.8,6.0,0.42857142857142855,0.4,1466.9695104889593,2,0.0,16.005607342059005,95.4,97.1,0.4673,0.34580000000000005,0.7498,40.6,17.9,5.3,0.3611111111111111,0.3,1510.5856503759287,-1,1.0,14.834078154622059,A
11,2009-01-11,PHI,ATL,98.0,100.6,0.49139999999999995,0.257,0.7314,38.5,14.8,6.0,0.4444444444444444,0.4,1475.982403296213,3,0.0,16.529176358672323,103.0,99.7,0.47709999999999997,0.39969999999999994,0.7272,41.2,12.0,4.0,0.6285714285714286,0.8,1508.762171484176,-2,1.0,16.60154628958072,A
12,2009-01-16,PHI,SAS,100.4,97.4,0.5003000000000001,0.36479999999999996,0.7556999999999999,37.4,14.0,5.6,0.47368421052631576,0.5,1508.6147285279271,5,0.0,18.833607881470105,100.0,95.6,0.4913,0.4128,0.7626999999999999,36.0,10.7,5.0,0.6756756756756757,0.7,1504.0175769612972,1,1.0,16.078194236456582,A
13,2009-01-17,PHI,NYK,101.2,95.6,0.5009,0.3802,0.7746000000000001,39.1,13.8,5.5,0.48717948717948717,0.4,1525.8299257925262,6,1.0,18.46328162580392,99.3,101.4,0.4234,0.3515,0.7944,41.5,14.1,3.4,0.39473684210526316,0.4,1477.7951657173292,-1,0.0,13.522389474402914,A
