,SEASON_ID,TEAM_SELECTED,OPPONENT,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,MATCHUP_A,PER_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,MATCHUP_B,PER_B,WINNER
0,22008,GSW,MEM,101.2,101.6,0.4236,0.28259999999999996,0.6868,44.0,14.4,6.2,0.4,0.5,1496.4013719662885,1,0.0,14.510425320479237,85.6,88.2,0.4208,0.31520000000000004,0.7155999999999999,42.6,16.0,4.4,0.4,0.0,1510.8629865218368,-1,1.0,10.678201011830897,B
1,22008,GSW,HOU,107.4,116.4,0.46160000000000007,0.3162999999999999,0.7608,40.7,14.6,7.4,0.3181818181818182,0.4444444444444444,1441.3500004192035,2,0.0,14.429558605130964,102.0,96.4,0.4468,0.4171,0.7949,44.7,14.2,4.3,0.6363636363636364,0.6,1512.1574819384555,1,1.0,16.1323368112777,B
2,22008,GSW,DEN,110.1,119.4,0.45820000000000005,0.3011999999999999,0.779,41.9,13.8,7.1,0.30434782608695654,0.2,1433.0238368121957,-1,1.0,15.844215102337344,107.8,99.7,0.492,0.38099999999999995,0.7465999999999999,40.0,14.8,7.7,0.6818181818181818,0.8,1489.0613079944262,2,0.0,16.51912076291096,B
3,22008,GSW,ORL,107.1,114.8,0.44980000000000003,0.33599999999999997,0.7564,44.1,14.6,5.9,0.2857142857142857,0.2,1408.9622203275,1,0.0,16.62633861788255,101.0,96.7,0.47319999999999995,0.41450000000000004,0.6972,39.5,14.0,5.4,0.7777777777777778,0.8,1508.0340052941328,4,1.0,17.968990785254466,B
4,22008,GSW,MIA,104.0,113.0,0.42750000000000005,0.33490000000000003,0.7555,46.0,14.7,6.1,0.27586206896551724,0.2,1393.6229017616363,-1,0.0,15.967221635970676,96.1,98.7,0.4425,0.35529999999999995,0.7118,42.1,13.9,6.7,0.5384615384615384,0.5,1503.1496391549729,2,1.0,15.222017156427496,B
5,22008,GSW,BOS,104.0,110.3,0.42729999999999996,0.33820000000000006,0.7657,45.8,15.2,6.2,0.26666666666666666,0.4,1387.8228052097056,-2,0.0,14.987606003801666,106.2,93.7,0.5107,0.404,0.7517999999999999,43.3,17.6,4.0,0.9,0.9,1507.9686516230188,-1,1.0,17.1320277096512,A
6,22008,GSW,TOR,102.1,112.4,0.42300000000000004,0.3644,0.7630000000000001,43.3,15.7,6.1,0.28125,0.4,1393.2242890120056,-1,0.0,14.545547374781483,93.9,93.2,0.44329999999999997,0.3433,0.8352999999999999,40.3,11.1,4.7,0.4,0.3,1506.1615955541024,-1,1.0,11.968897134826054,A
7,22008,GSW,OKC,103.0,111.6,0.4328,0.39620000000000005,0.7788999999999999,42.0,15.9,6.0,0.30303030303030304,0.2,1404.3949381736854,1,1.0,14.886002062893162,94.8,100.6,0.46690000000000004,0.34829999999999994,0.7352000000000001,43.7,15.9,4.9,0.09375,0.1,1485.6956598043519,-5,0.0,14.930281983994565,B
8,22008,GSW,MIN,102.5,110.0,0.4377000000000001,0.40020000000000006,0.7847,41.5,16.5,5.9,0.29411764705882354,0.2,1398.3113012345616,-1,1.0,12.940395196153288,96.2,104.5,0.4387,0.3657,0.7335,42.1,13.9,3.3,0.1935483870967742,0.1,1493.8990429409487,-1,0.0,11.398987289929114,B
9,22008,GSW,LAL,102.9,109.8,0.4484,0.4095,0.7817999999999999,39.5,16.4,5.4,0.2777777777777778,0.5,1388.0550240125476,-3,0.0,14.834909239606956,105.1,99.0,0.46909999999999996,0.3734,0.7801,41.3,13.1,4.6,0.8181818181818182,0.6,1509.8987432272186,-1,1.0,17.7827929834451,B
10,22008,GSW,POR,103.6,109.7,0.45169999999999993,0.41580000000000006,0.7777000000000001,39.6,16.6,5.6,0.2702702702702703,0.1,1382.570012756386,-4,1.0,15.03752333865675,95.7,93.7,0.45380000000000004,0.3937,0.7578,38.1,11.9,3.9,0.6,0.6,1492.749317346978,1,0.0,16.246747169363708,B
11,22008,GSW,IND,102.6,110.7,0.4568999999999999,0.39770000000000005,0.7762,38.5,16.8,5.3,0.2631578947368421,0.4,1374.765544937878,-5,0.0,14.976785647950189,108.8,111.1,0.4756,0.4189,0.8051,40.4,14.0,4.8,0.3611111111111111,0.4,1505.9293794191315,-1,1.0,17.830939535675363,A
12,22008,GSW,SAC,106.5,111.1,0.47309999999999997,0.4055000000000001,0.7939999999999999,37.9,16.7,5.5,0.28205128205128205,0.5,1383.263575619742,1,0.0,15.726881066507353,97.3,107.5,0.422,0.35619999999999996,0.8021999999999998,39.3,15.1,2.7,0.23076923076923078,0.0,1514.0989991630743,-1,1.0,13.49125506352951,B
13,22008,GSW,ATL,111.0,115.0,0.4803,0.41220000000000007,0.7655000000000001,39.8,16.1,6.5,0.275,0.4,1380.4630042523647,-1,0.0,16.945642073954588,102.4,102.8,0.4746,0.391,0.737,38.2,11.6,3.6,0.6052631578947368,0.4,1509.6559834627403,1,1.0,16.713667766738645,A
14,22008,GSW,WAS,113.0,117.5,0.4851,0.43150000000000005,0.7626999999999999,41.0,15.3,6.4,0.2926829268292683,0.5,1391.1025607489123,1,0.0,16.82938159185859,90.5,97.4,0.45730000000000004,0.34290000000000004,0.7438,37.3,13.3,3.9,0.20512820512820512,0.1,1517.4896391153818,1,1.0,14.48003949405396,A
