,SEASON_ID,TEAM_SELECTED,OPPONENT,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,MATCHUP_A,PER_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,MATCHUP_B,PER_B,WINNER
0,22008,BOS,MIL,93.5,89.0,0.43660000000000004,0.2969,0.7537,43.9,17.4,5.0,0.8,0.75,1543.0064155318325,-1,1.0,14.554670622255276,94.7,95.4,0.43229999999999996,0.3583,0.7400999999999999,44.4,16.5,3.2,0.5,0.5,1489.3502028336493,2,0.0,13.788098603531777,A
1,22008,BOS,DET,96.1,92.3,0.44770000000000004,0.3334,0.7739,43.6,17.0,6.0,0.8333333333333334,0.8571428571428571,1556.7837315282914,2,1.0,14.46811884722383,98.5,95.8,0.4492,0.38,0.7915,42.4,13.0,5.0,0.7272727272727273,0.7142857142857143,1489.7833097246948,1,0.0,15.791544818167393,A
2,22008,BOS,TOR,97.2,88.7,0.4598000000000001,0.36920000000000003,0.7785000000000001,42.5,15.8,5.9,0.8571428571428571,0.8333333333333334,1579.6700299444894,4,1.0,14.302348440465245,97.3,99.9,0.4565999999999999,0.39039999999999997,0.8179000000000001,40.8,15.5,4.8,0.5,0.4,1492.9076903326084,-1,0.0,15.743058047651216,A
3,22008,BOS,IND,102.5,91.4,0.4957000000000001,0.4016,0.7761,40.6,14.5,5.7,0.8947368421052632,0.9,1622.6630268045378,9,0.0,19.324453346436517,101.3,104.4,0.43949999999999995,0.3738,0.7686,49.3,16.3,6.5,0.4117647058823529,0.25,1515.1478352764084,1,1.0,14.668514567335219,A
4,22008,BOS,IND,104.5,89.7,0.5063000000000001,0.3766999999999999,0.7634,42.9,13.8,4.8,0.9047619047619048,0.875,1640.2249335837655,11,0.5,20.101703321657443,99.9,105.7,0.4426,0.3806,0.7712999999999999,45.1,15.1,4.6,0.3684210526315789,0.5555555555555556,1505.3300214367775,-2,0.5,14.167598305061318,A
5,22008,BOS,ATL,106.2,91.3,0.495,0.3914,0.7878000000000001,44.2,15.2,4.1,0.92,0.9,1668.062043842056,15,1.0,19.754386883370174,93.1,91.2,0.4593999999999999,0.31579999999999997,0.7667,40.3,13.7,5.9,0.625,0.9,1496.6888252247816,3,0.0,17.48608782175447,A
6,22008,BOS,CHI,103.1,88.7,0.49210000000000004,0.3711,0.7807000000000001,44.0,15.5,4.1,0.9230769230769231,0.9,1670.7327528593983,16,1.0,19.045972185317304,102.3,102.6,0.46209999999999996,0.39469999999999994,0.7946,42.3,14.0,6.2,0.48,0.3,1486.3032466004136,1,0.0,14.815248346143546,A
7,22008,BOS,NYK,105.5,91.7,0.5003,0.3782,0.7812999999999999,43.6,15.8,3.9,0.9259259259259259,1.0,1677.554485027799,17,1.0,18.78530991385276,101.1,104.8,0.4378,0.33690000000000003,0.8521000000000001,43.4,17.1,2.5,0.4230769230769231,0.2,1491.936534242838,-3,0.0,14.753671930575699,A
8,22008,BOS,PHI,109.0,93.8,0.5223,0.41390000000000005,0.7603,45.0,16.8,3.8,0.9285714285714286,1.0,1684.5931161502576,18,1.0,21.51626719405996,95.0,95.9,0.44719999999999993,0.2353,0.7639,42.0,15.2,4.4,0.4444444444444444,0.5,1487.340148148543,-1,0.0,14.950056478064852,A
9,22008,BOS,GSW,106.2,93.7,0.5107,0.404,0.7517999999999999,43.3,17.6,4.0,0.9,0.9,1673.9853896941247,-1,1.0,17.1320277096512,104.0,110.3,0.42729999999999996,0.33820000000000006,0.7657,45.8,15.2,6.2,0.26666666666666666,0.4,1493.6540370378093,-2,0.0,14.987606003801666,B
10,22008,BOS,POR,104.4,90.4,0.5131,0.4122,0.7421999999999999,43.8,17.9,5.1,0.875,0.8,1671.2560067524835,1,1.0,19.474898328013545,102.5,99.9,0.4636,0.3516,0.7908999999999999,42.4,11.9,5.2,0.6129032258064516,0.7,1492.2559070604032,1,0.0,14.22854944057779,B
11,22008,BOS,WAS,100.8,90.7,0.49770000000000003,0.38029999999999997,0.7568999999999999,42.6,17.4,4.9,0.8484848484848485,1.0,1659.1493070446843,-1,1.0,16.20714395604191,88.9,96.8,0.4161,0.27810000000000007,0.7253,41.3,13.4,3.7,0.2,0.2,1486.9563243389807,-1,0.0,15.317448146643223,A
