,SEASON_ID,TEAM_SELECTED,OPPONENT,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,MATCHUP_A,PER_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,MATCHUP_B,PER_B,WINNER
0,22008,CLE,CHI,98.5,92.33333333333333,0.4675,0.32783333333333337,0.7411666666666666,41.833333333333336,15.833333333333334,6.333333333333333,0.6666666666666666,0.3333333333333333,1530.1182823575416,3,1.0,14.364768719829323,95.0,93.83333333333333,0.4231666666666667,0.3715,0.7641666666666668,43.833333333333336,16.166666666666668,5.833333333333333,0.5,1.0,1487.7028348510476,1,0.0,12.172006484827739,A
1,22008,CLE,MIL,107.3,93.6,0.4951,0.36119999999999997,0.7849,42.1,11.5,6.0,0.8125,0.5714285714285714,1614.2921894125548,4,1.0,19.348057078996046,95.6,97.3,0.42279999999999995,0.3066,0.7722,46.3,15.5,3.5,0.3888888888888889,0.5,1493.3232703437982,-3,0.0,12.020030466697644,A
2,22008,CLE,NYK,106.4,92.4,0.49029999999999996,0.34639999999999993,0.7729,43.8,11.4,5.8,0.8235294117647058,1.0,1621.3500681366568,5,1.0,19.71844076117916,110.4,112.2,0.44560000000000005,0.364,0.8375999999999999,44.4,14.2,2.1,0.47058823529411764,0.2857142857142857,1488.7892683482096,-1,0.0,17.323185905604394,A
3,22008,CLE,IND,108.3,91.3,0.4923,0.36,0.7783,45.0,12.1,6.0,0.8333333333333334,1.0,1635.7196058125203,6,1.0,19.880277275933437,101.7,106.4,0.43950000000000006,0.37229999999999996,0.7789999999999999,47.5,15.4,5.6,0.3888888888888889,0.2222222222222222,1494.2305123495553,-1,0.0,14.43393145962472,A
4,22008,CLE,CHA,107.0,88.7,0.48640000000000005,0.35429999999999995,0.7687,45.9,12.3,6.8,0.8421052631578947,0.625,1645.9888789307772,7,1.0,19.249602465732483,91.7,92.9,0.4497000000000001,0.3659,0.7255,37.7,15.6,4.4,0.3684210526315789,0.4,1484.9712689577989,-1,0.0,15.813458262542204,A
5,22008,CLE,PHI,107.9,87.7,0.49610000000000004,0.34169999999999995,0.7868,46.1,12.6,6.6,0.8636363636363636,1.0,1667.2452790121154,10,1.0,17.110841665282084,91.5,97.1,0.42169999999999996,0.26,0.7506,42.1,14.8,3.8,0.4090909090909091,0.4,1495.4760371323016,-2,0.0,12.20677407672829,A
6,22008,CLE,ATL,105.7,85.3,0.48650000000000004,0.3417,0.7705,45.9,12.9,6.7,0.8695652173913043,0.7,1673.9482306899597,11,1.0,18.174588602834937,94.9,94.7,0.4607,0.3677,0.7778,38.5,13.5,5.4,0.5909090909090909,0.875,1490.1298095752218,1,0.0,14.84097446373709,B
7,22008,CLE,DEN,100.6,83.7,0.4678000000000001,0.3191,0.7836,44.3,12.2,5.8,0.84,0.8,1670.7462844662746,1,1.0,18.773235052784187,108.5,98.8,0.49429999999999985,0.4356999999999999,0.7341999999999999,41.4,14.6,8.2,0.68,0.8,1490.7427079082322,-1,0.0,20.809955820326845,A
8,22008,CLE,OKC,99.9,82.8,0.4687,0.3131,0.7888999999999999,43.4,12.2,5.7,0.8461538461538461,0.8,1677.4525313637894,2,1.0,17.888096639965994,98.2,102.2,0.4751,0.36019999999999996,0.7302000000000001,41.2,16.4,5.8,0.1111111111111111,0.1,1482.831090041563,1,0.0,15.226229952028232,A
9,22008,CLE,MIA,98.0,87.0,0.4655,0.33670000000000005,0.7668999999999999,41.1,12.5,4.7,0.8666666666666667,0.8,1693.0285706932511,6,1.0,17.225907589227898,91.4,93.0,0.4423,0.3543,0.6555,42.9,14.1,5.9,0.5517241379310345,0.6,1496.3233281209555,-1,0.0,14.37973945085951,B
10,22008,CLE,CHI,96.1,88.0,0.4626,0.337,0.7518999999999998,39.9,12.7,5.1,0.8387096774193549,1.0,1675.5562928194956,-1,1.0,15.073022146977799,102.9,107.0,0.46179999999999993,0.4232,0.7747,40.9,13.6,5.6,0.4375,0.2,1479.4321025094732,-1,0.0,14.027583646320636,A
11,22008,CLE,WAS,97.7,87.9,0.46720000000000006,0.3559,0.738,40.4,13.0,5.4,0.84375,0.7,1683.654899574859,1,1.0,17.621098792773314,88.3,97.2,0.41340000000000005,0.2644000000000001,0.7264999999999999,41.1,12.7,3.8,0.1935483870967742,0.2,1497.1970629283142,-2,0.0,13.125650891337303,B
12,22008,CLE,CHA,96.6,88.7,0.46559999999999996,0.34950000000000003,0.7239,40.0,13.5,5.6,0.8181818181818182,1.0,1673.861442757558,-1,1.0,16.63066335712361,98.3,96.1,0.47250000000000003,0.372,0.7409,41.6,17.5,5.9,0.37142857142857144,0.3,1476.7418915507892,2,0.0,15.941010999398982,A
13,22008,CLE,BOS,98.5,87.1,0.4840999999999999,0.3768,0.7150000000000001,40.7,14.5,5.9,0.8235294117647058,1.0,1683.0514221949788,1,0.0,17.380334931855533,98.7,92.7,0.48020000000000007,0.3775,0.7826,41.6,16.7,5.7,0.7837837837837838,0.5,1507.0373755241221,-3,1.0,17.453527756156962,A
14,22008,CLE,CHI,98.7,88.3,0.4869,0.4304,0.7085,38.9,14.8,5.8,0.8333333333333334,0.7,1695.222582904841,3,1.0,14.172866499745343,98.7,104.4,0.4428000000000001,0.3627,0.7970000000000002,39.1,13.7,5.6,0.4358974358974359,0.6,1471.33349575411,1,0.0,14.936764305582921,B
