,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,H/A_A,ELO_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_A,BLK_B,H/A_B,ELO_B,WINNER
0,99.33333333333333,93.0,0.4776666666666667,0.5416666666666666,0.8390000000000001,34.666666666666664,14.333333333333334,6.666666666666667,1.0,1502.7825618381564,99.2,94.8,0.46159999999999995,0.42540000000000006,0.754,48.8,19.2,5.0,0.0,1483.0778085929799,B
1,95.83333333333333,96.16666666666667,0.45249999999999996,0.3511666666666667,0.699,41.833333333333336,18.333333333333332,3.5,0.5,1497.0107572256807,94.16666666666667,88.5,0.444,0.26016666666666666,0.7075,45.833333333333336,18.333333333333332,5.5,0.6666666666666666,1545.6715751393294,B
2,86.4,94.4,0.41180000000000005,0.3174,0.7264,41.2,15.6,5.4,0.3333333333333333,1420.0898600775572,95.5,89.5,0.4180000000000001,0.37766666666666665,0.8595,43.5,12.166666666666666,2.6666666666666665,0.6666666666666666,1523.818814922548,B
3,89.5,90.83333333333333,0.4275,0.3116666666666667,0.7184999999999998,44.666666666666664,15.5,4.333333333333333,1.0,1450.6693551120343,93.4,108.4,0.472,0.3198,0.7943999999999999,35.8,18.6,4.0,0.0,1467.5014261952642,A
4,95.5,89.5,0.4180000000000001,0.37766666666666665,0.8595,43.5,12.166666666666666,2.6666666666666665,0.6666666666666666,1531.0379238905723,96.2,97.2,0.44160000000000005,0.3092,0.8536000000000001,41.6,11.8,4.2,0.6666666666666666,1489.5966164850083,B
5,102.6,104.2,0.44060000000000005,0.2572,0.7915999999999999,45.2,16.2,5.8,0.3333333333333333,1536.0299529647186,106.8,84.4,0.45600000000000007,0.4944,0.7657999999999999,51.4,15.4,6.8,1.0,1592.2401615035344,B
6,102.5,105.0,0.43483333333333335,0.3781666666666667,0.7501666666666668,40.833333333333336,15.0,1.3333333333333333,0.5,1494.9137166779021,95.85714285714286,97.28571428571429,0.4492857142857143,0.3902857142857143,0.7095714285714285,41.42857142857143,17.285714285714285,3.5714285714285716,0.3333333333333333,1472.992572133568,B
7,97.4,108.8,0.4468,0.269,0.7110000000000001,38.8,14.2,3.8,0.0,1428.7889930366887,102.5,105.0,0.43483333333333335,0.3781666666666667,0.7501666666666668,40.833333333333336,15.0,1.3333333333333333,0.75,1479.0653664067002,B
8,96.0,99.42857142857143,0.43828571428571433,0.4142857142857143,0.7724285714285715,38.714285714285715,10.857142857142858,4.428571428571429,0.25,1537.1867694027144,102.71428571428571,98.14285714285714,0.5182857142857143,0.4031428571428571,0.7524285714285713,38.42857142857143,16.857142857142858,4.857142857142857,0.5,1517.6687905797517,B
9,93.375,86.75,0.44350000000000006,0.29512499999999997,0.7396250000000001,44.875,17.625,5.0,0.75,1582.565330834112,94.14285714285714,94.57142857142857,0.4628571428571428,0.44642857142857134,0.816,36.714285714285715,13.428571428571429,5.571428571428571,0.5,1496.7120821378242,A
10,86.85714285714286,101.42857142857143,0.4108571428571429,0.30500000000000005,0.6778571428571428,41.142857142857146,16.714285714285715,6.142857142857143,0.2,1407.7961753496456,100.14285714285714,98.71428571428571,0.4377142857142858,0.25757142857142856,0.7627142857142856,44.57142857142857,17.0,5.714285714285714,0.5,1536.1773461874814,B
11,87.28571428571429,93.0,0.42771428571428577,0.3498571428571429,0.7638571428571429,37.0,15.571428571428571,4.142857142857143,0.0,1458.7145600695742,94.14285714285714,94.57142857142857,0.4628571428571428,0.44642857142857134,0.816,36.714285714285715,13.428571428571429,5.571428571428571,0.5,1487.1651251653532,B
12,99.25,95.125,0.45675,0.365,0.75625,38.125,12.875,4.75,0.25,1514.368360334641,97.0,99.0,0.4427500000000001,0.40850000000000003,0.768625,38.875,11.0,4.625,1.0,1528.9953977791445,B
13,98.42857142857143,93.71428571428571,0.45042857142857146,0.3124285714285714,0.6727142857142858,44.285714285714285,14.714285714285714,6.285714285714286,0.0,1554.264625766476,94.85714285714286,95.0,0.43842857142857145,0.3775714285714286,0.7784285714285714,48.57142857142857,18.142857142857142,5.857142857142857,0.5,1503.6694037385748,A
14,97.0,105.16666666666667,0.4403333333333333,0.2836666666666667,0.7258333333333334,39.333333333333336,14.666666666666666,4.833333333333333,0.3333333333333333,1445.455530415323,99.75,93.5,0.4505,0.313125,0.68125,45.0,13.875,7.5,0.5,1558.2369968125429,B
15,96.0,99.28571428571429,0.4344285714285715,0.2837142857142857,0.8224285714285715,43.714285714285715,13.428571428571429,4.571428571428571,0.5,1518.7811354559763,104.71428571428571,86.71428571428571,0.4474285714285715,0.4287142857142857,0.7741428571428571,49.285714285714285,14.428571428571429,6.142857142857143,1.0,1620.5069579133667,B
16,88.5,97.125,0.40137500000000004,0.320625,0.75075,44.375,15.75,4.75,0.2,1365.9683912590192,100.71428571428571,105.57142857142857,0.43142857142857144,0.2845714285714286,0.8075714285714284,41.285714285714285,11.857142857142858,4.714285714285714,0.0,1463.9629529724707,B
17,94.375,96.0,0.45812499999999995,0.42037499999999994,0.8166249999999999,36.75,13.5,5.5,0.3333333333333333,1494.7186061554385,99.28571428571429,91.42857142857143,0.44885714285714284,0.4264285714285715,0.7184285714285714,42.857142857142854,13.142857142857142,6.0,0.8,1516.5208110089548,A
18,100.66666666666667,93.66666666666667,0.48077777777777775,0.31855555555555554,0.7722222222222223,39.666666666666664,14.0,5.666666666666667,0.5,1606.9914814161418,94.0,95.33333333333333,0.43755555555555553,0.37244444444444447,0.725111111111111,42.44444444444444,16.22222222222222,3.0,0.5,1471.6634538610613,A
19,94.625,100.375,0.42649999999999993,0.365,0.7775,41.25,13.875,5.0,0.3333333333333333,1499.6401256477984,100.88888888888889,98.11111111111111,0.49900000000000005,0.3796666666666666,0.7824444444444443,39.77777777777778,16.77777777777778,4.777777777777778,0.5,1522.175339686314,A
