,SEASON_ID,TEAM_A,TEAM_B,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,TOV_A,SEASON_A_PCT,ELO_A,STREAK_A,PER_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,TOV_B,SEASON_B_PCT,ELO_B,STREAK_B,PER_B,WINNER
25,22010,OKC,UTA,105.5,99.5,0.399,0.1775,12.0,1.0,1514.8098331328583,2,18.86427693606306,91.0,110.0,0.4075,0.231,19.0,0.0,1468.6707049831873,-2,9.018788771998565,B
26,22010,POR,CHI,101.33333333333333,91.66666666666667,0.4526666666666667,0.454,14.666666666666666,1.0,1529.2264826288733,3,14.308519854225121,98.0,98.5,0.43,0.21050000000000002,15.5,0.5,1499.4281550227581,1,12.162600375013433,B
27,22010,SAS,LAC,106.0,104.0,0.447,0.3405,14.0,0.5,1502.5949142127445,-1,19.12614657903455,87.33333333333333,102.0,0.37733333333333335,0.24866666666666667,16.333333333333332,0.0,1463.379974599228,-3,10.718600732248007,A
28,22010,SAC,TOR,108.0,108.66666666666667,0.4656666666666667,0.4046666666666667,13.333333333333334,0.6666666666666666,1501.8546406258185,1,14.817054034815884,97.0,89.5,0.4295,0.3,15.5,0.5,1510.3449167680428,1,14.186860647001016,A
29,22010,LAL,MEM,111.0,99.66666666666667,0.448,0.39633333333333337,14.333333333333334,1.0,1532.8705725328093,3,17.516964159922672,101.33333333333333,99.33333333333333,0.4383333333333333,0.3703333333333334,15.0,0.6666666666666666,1508.3364076543662,2,10.420453471143606,A
30,22010,ATL,CLE,107.33333333333333,100.0,0.48633333333333334,0.37200000000000005,17.333333333333332,1.0,1523.994687809427,3,15.825999552271554,93.33333333333333,98.33333333333333,0.43766666666666665,0.36333333333333334,15.666666666666666,0.3333333333333333,1486.5009303115828,-2,11.375347161204017,A
31,22010,MIA,MIN,93.5,80.75,0.44675,0.42824999999999996,13.25,0.75,1540.253911453924,3,13.63603109578717,100.33333333333333,103.66666666666667,0.399,0.339,20.333333333333332,0.3333333333333333,1489.527719213741,-1,12.500029108058166,A
32,22010,DET,BOS,97.66666666666667,102.33333333333333,0.43166666666666664,0.45533333333333337,14.0,0.0,1480.1713948942108,-3,11.51804611463116,93.33333333333333,92.0,0.47333333333333333,0.35433333333333333,19.0,0.6666666666666666,1506.1907934978751,1,9.781812828010683,B
33,22010,MIL,POR,91.33333333333333,93.0,0.412,0.33266666666666667,14.666666666666666,0.3333333333333333,1493.0659919045663,1,6.744710959583895,100.5,96.25,0.44275000000000003,0.3405,13.5,0.75,1516.2862318227399,-1,13.892559198331613,B
34,22010,WAS,PHI,89.0,105.5,0.436,0.272,15.5,0.0,1473.238683553474,-2,7.908197900260591,91.33333333333333,100.0,0.4283333333333333,0.4630000000000001,15.666666666666666,0.0,1472.32640474438,-3,9.970227447964856,A
35,22010,IND,PHI,104.0,103.0,0.46599999999999997,0.36233333333333334,17.333333333333332,0.6666666666666666,1505.156759875652,2,13.46462756003394,97.25,104.0,0.45875,0.41400000000000003,17.5,0.0,1468.2980469096615,-4,10.61505139049542,B
36,22010,MEM,GSW,102.25,105.5,0.432,0.40275000000000005,14.25,0.5,1493.9256834964092,-1,16.800741436169183,108.0,108.66666666666667,0.4963333333333333,0.41100000000000003,16.0,0.6666666666666666,1501.4643210835097,-1,12.653252802405508,B
37,22010,CHA,NJN,91.66666666666667,101.0,0.4363333333333334,0.3973333333333333,18.666666666666668,0.0,1470.6613428109324,-3,8.523085413686598,95.0,99.66666666666667,0.4553333333333333,0.39599999999999996,18.0,0.6666666666666666,1495.839816835617,-1,9.114073720903004,A
38,22010,PHX,SAS,102.66666666666667,104.66666666666667,0.47400000000000003,0.41133333333333333,14.666666666666666,0.3333333333333333,1492.0070997231196,-1,14.340580554194704,103.0,98.66666666666667,0.4583333333333333,0.37000000000000005,15.333333333333334,0.6666666666666666,1510.9719281005564,1,14.002614252378583,B
39,22010,BOS,MIL,97.25,90.5,0.48475,0.349,16.25,0.75,1522.5675982629643,2,15.220396583503366,87.5,92.25,0.40275,0.2995,15.25,0.25,1481.281527551798,-1,7.431449602969451,A
40,22010,OKC,LAC,103.33333333333333,106.33333333333333,0.3993333333333333,0.20166666666666666,12.666666666666666,0.6666666666666666,1494.8894798587075,-1,13.845137903492402,87.5,100.75,0.39875000000000005,0.2635,16.5,0.0,1455.002960711416,-4,7.092041731073536,B
41,22010,MIN,ORL,99.5,110.0,0.3915,0.3375,19.75,0.25,1470.6956911842667,-2,12.132541476221949,91.0,89.5,0.43100000000000005,0.25,18.5,0.5,1500.16619978249,-1,9.110493454910669,B
42,22010,HOU,NOH,110.66666666666667,117.0,0.4486666666666667,0.26933333333333337,16.333333333333332,0.0,1477.61115532061,-3,11.031316600198327,98.33333333333333,92.0,0.4746666666666666,0.408,13.333333333333334,1.0,1524.0359064983252,3,12.923374419465762,B
43,22010,TOR,UTA,100.66666666666667,96.66666666666667,0.43933333333333335,0.34299999999999997,15.333333333333334,0.3333333333333333,1504.578542729964,-1,13.32717538872142,100.66666666666667,106.33333333333333,0.4483333333333333,0.36600000000000005,18.0,0.3333333333333333,1488.591058257338,1,13.695015485160848,B
44,22010,DET,ATL,94.75,104.0,0.436,0.397,14.75,0.0,1463.7945901291216,-4,10.343797818971613,105.5,97.0,0.47475,0.35250000000000004,14.75,1.0,1534.0775879916387,4,15.421136392992588,B
45,22010,SAC,LAL,108.75,108.5,0.4685,0.40775,12.75,0.75,1507.6210146638973,2,15.44510361065341,114.25,101.0,0.464,0.4495,15.5,1.0,1547.2812966907663,4,18.647800852158827,B
46,22010,DAL,DEN,96.66666666666667,86.66666666666667,0.4956666666666667,0.34600000000000003,17.0,0.6666666666666666,1521.4010312434627,1,15.888818595953511,104.0,94.33333333333333,0.434,0.35666666666666663,16.0,0.6666666666666666,1520.8010900999088,1,13.303440358113852,A
47,22010,NYK,CHI,98.0,99.33333333333333,0.429,0.2916666666666667,14.333333333333334,0.3333333333333333,1494.068157182505,-2,13.22420318492701,102.0,98.33333333333333,0.48866666666666664,0.26866666666666666,15.333333333333334,0.6666666666666666,1512.3684058288916,2,13.22671782314793,A
48,22010,POR,OKC,98.4,92.2,0.4492,0.33080000000000004,13.4,0.8,1528.0706961755081,1,14.588080531775361,100.5,106.5,0.394,0.18975,12.75,0.5,1479.3926400142182,-2,14.528038631060065,B
49,22010,CLE,PHI,92.0,98.75,0.43624999999999997,0.34600000000000003,15.25,0.25,1476.4180301293711,-3,9.97509647287004,98.0,98.2,0.4608,0.39780000000000004,16.0,0.2,1490.7621876583155,1,12.778628894680509,A
50,22010,GSW,UTA,109.75,108.75,0.4755,0.41650000000000004,17.0,0.75,1508.9839411404175,1,17.394265036704848,106.75,106.75,0.4775,0.384,17.25,0.5,1504.1105645973628,2,16.061395665862022,A
51,22010,LAL,TOR,113.8,100.8,0.4640000000000001,0.46440000000000003,13.6,1.0,1557.277789399547,5,18.047672825567613,102.5,103.75,0.4435,0.315,15.5,0.25,1489.0590363899394,-2,13.82437745902605,A
52,22010,NYK,WAS,103.5,102.5,0.44675,0.3855,15.0,0.5,1503.7672515533734,1,13.24515942842681,98.0,108.66666666666667,0.4486666666666667,0.34800000000000003,18.0,0.3333333333333333,1477.2670413881924,1,9.245036047255498,A
53,22010,PHX,MEM,104.5,106.5,0.467,0.40375,14.25,0.25,1487.50699671752,-2,14.97808855696309,103.6,107.4,0.44800000000000006,0.41100000000000003,15.4,0.4,1486.4060634395014,-2,14.61889296844286,A
54,22010,BOS,CHI,98.8,92.8,0.4814,0.3458,16.2,0.8,1527.3393802943688,3,13.217443559164831,104.5,103.75,0.49624999999999997,0.32,16.5,0.5,1502.6693114580232,-1,15.285059775471979,A
55,22010,NJN,ORL,92.0,96.0,0.44825,0.3705,17.75,0.5,1490.5518878661778,-2,10.455212010757808,103.33333333333333,88.33333333333333,0.454,0.328,16.666666666666668,0.6666666666666666,1525.2267069166687,1,11.970899000520744,B
56,22010,DET,CHA,92.8,102.0,0.4288,0.3528,13.4,0.0,1456.4181483193552,-5,10.901985396129128,90.0,96.5,0.43500000000000005,0.36375,18.25,0.25,1475.9492717803716,1,12.128974085538186,A
57,22010,MIL,IND,90.4,94.8,0.40599999999999997,0.3166,16.0,0.2,1476.5097455203936,-2,7.652030925884689,96.75,102.5,0.42824999999999996,0.35125,16.25,0.5,1482.692619126998,-1,11.173392849235501,A
58,22010,LAC,DEN,91.4,99.0,0.42400000000000004,0.3108,15.6,0.2,1470.4998005559053,1,7.99955973862488,103.25,96.25,0.44075000000000003,0.35674999999999996,15.0,0.5,1516.768094345045,-1,13.46538256618299,B
59,22010,ATL,MIN,103.2,94.6,0.48719999999999997,0.32480000000000003,14.6,1.0,1541.454029801405,5,14.100220172213719,96.8,113.6,0.3798,0.34500000000000003,19.8,0.2,1445.635184050088,-3,11.005895293192962,A
60,22010,MIA,NOH,100.6,84.0,0.47379999999999994,0.4568,13.8,0.8,1559.0859394833983,4,16.454657373898367,100.5,93.75,0.47,0.40225,12.0,1.0,1531.6272570453377,4,15.38356015025346,B
61,22010,SAS,HOU,105.25,101.5,0.48,0.38475000000000004,17.25,0.75,1515.472031106156,2,17.595781960374254,107.75,114.5,0.44125000000000003,0.28525,15.25,0.0,1470.0198047735973,-4,12.192159148180131,A
62,22010,MIA,NJN,99.33333333333333,86.0,0.4653333333333333,0.4203333333333333,13.666666666666666,0.6666666666666666,1552.9189296950367,-1,15.58081966900723,91.6,97.8,0.4444,0.3874,16.6,0.4,1478.7549114586375,-3,10.5801092205374,A
63,22010,TOR,POR,102.6,104.6,0.449,0.329,16.6,0.2,1483.6795431573785,-3,13.37993216481481,99.66666666666667,94.66666666666667,0.45216666666666666,0.31733333333333336,13.0,0.6666666666666666,1523.2795855421007,-1,14.936024131960533,B
