,SEASON_ID,TEAM_A,TEAM_B,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,MATCHUP_A,PER_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,MATCHUP_B,PER_B,WINNER
0,22020,PHX,SAC,104.5,104.0,0.4495,0.3085,0.7364999999999999,44.0,15.0,6.0,0.5,0.0,1500.7030238021773,-1,0.0,14.679923581673936,115.0,112.5,0.447,0.27,0.7355,55.0,16.5,8.0,1.0,1.0,1510.4532091474118,2,1.0,15.319746710340734,A
1,22020,ORL,WAS,121.5,113.5,0.491,0.356,0.7130000000000001,47.5,16.0,1.5,1.0,1.0,1517.5274295227518,2,1.0,18.487117491031263,113.5,121.5,0.47150000000000003,0.416,0.616,41.5,17.0,3.5,0.0,0.0,1482.4725704772482,-2,0.0,15.301280701640717,A
2,22020,BOS,IND,108.0,117.33333333333333,0.453,0.379,0.7203333333333334,41.333333333333336,13.333333333333334,6.0,0.3333333333333333,0.0,1480.995281116445,-2,0.0,16.408862216894065,118.0,106.66666666666667,0.5196666666666667,0.2833333333333333,0.6963333333333334,45.333333333333336,15.0,6.666666666666667,1.0,1.0,1530.4433770585506,3,1.0,19.93863285775666,A
3,22020,SAC,DEN,110.0,113.66666666666667,0.45599999999999996,0.325,0.7303333333333333,49.666666666666664,16.0,6.666666666666667,0.6666666666666666,0.5,1495.8865754338842,-1,1.0,16.247315597856666,118.0,118.66666666666667,0.48866666666666675,0.3446666666666667,0.7126666666666667,43.333333333333336,14.666666666666666,6.333333333333333,0.3333333333333333,0.0,1496.2754457266224,1,0.0,17.408671785979482,A
4,22020,MIA,MIL,105.0,118.33333333333333,0.49366666666666664,0.35966666666666663,0.7783333333333333,36.0,20.333333333333332,3.3333333333333335,0.3333333333333333,0.5,1474.5335128811041,-1,0.0,13.62176641265925,128.25,112.0,0.51325,0.42725,0.7789999999999999,50.25,15.5,4.25,0.5,0.3333333333333333,1532.4595866433267,1,1.0,21.22447356676693,A
5,22020,CHI,WAS,113.25,121.25,0.43425,0.36775,0.80725,42.25,18.75,4.25,0.25,1.0,1474.6272005731814,1,1.0,15.622343683665878,111.75,119.5,0.46699999999999997,0.33799999999999997,0.74075,44.25,17.0,4.25,0.0,0.0,1465.6997567341452,-4,0.0,14.622161213172971,A
6,22020,LAL,SAS,120.4,108.8,0.5234,0.4151999999999999,0.7686,46.4,17.0,5.6,0.6,1.0,1537.0768464796151,1,1.0,19.060477686129484,113.0,113.0,0.46549999999999997,0.38375000000000004,0.8222499999999999,46.75,13.25,6.25,0.5,0.5,1499.812784293639,-2,0.0,15.581006378438017,A
7,22020,BKN,ATL,121.6,111.4,0.4746,0.42079999999999995,0.7994,47.2,16.2,6.2,0.6,0.6666666666666666,1531.5494696167325,1,1.0,20.549657693701,128.75,120.25,0.482,0.40700000000000003,0.8499999999999999,49.75,15.75,4.25,0.75,0.6666666666666666,1526.8245968261144,-1,0.0,19.808216610300825,B
8,22020,ORL,OKC,114.6,112.6,0.4548,0.328,0.8236000000000001,46.8,12.8,2.6,0.8,0.5,1514.690934359516,-1,1.0,17.06614528091366,101.25,112.0,0.44725000000000004,0.3275,0.597,44.5,18.25,5.5,0.25,1.0,1466.9112273592782,-3,0.0,13.659152759683938,B
9,22020,HOU,SAC,119.66666666666667,123.66666666666667,0.49766666666666665,0.36166666666666664,0.7600000000000001,41.666666666666664,16.666666666666668,4.666666666666667,0.3333333333333333,1.0,1488.200573272273,1,1.0,16.966543992766937,114.8,115.6,0.46519999999999995,0.3586,0.7428,46.2,14.8,5.4,0.6,0.5,1500.1820271729005,-1,0.0,16.121221283993503,A
10,22020,NYK,IND,100.8,105.2,0.43600000000000005,0.3882,0.7424,46.4,18.2,5.0,0.4,0.3333333333333333,1486.5252711521157,-1,0.0,14.40678396245113,116.8,107.0,0.5108,0.3342,0.7388,43.2,14.8,5.2,0.8,0.75,1538.6416229048498,1,1.0,19.78166160708961,A
11,22020,NOP,TOR,101.6,99.2,0.454,0.2864,0.6288,48.2,17.0,4.0,0.6,1.0,1510.8870765149154,1,1.0,14.274146481414148,101.5,103.75,0.41275,0.34375,0.7635,45.25,17.75,6.75,0.25,0.0,1489.3018013287262,1,0.0,12.981092532591932,A
12,22020,POR,GSW,114.2,115.8,0.4372,0.383,0.7926,44.4,11.8,4.2,0.6,0.6666666666666666,1499.8674944630272,1,1.0,17.584607702848345,108.2,124.0,0.40259999999999996,0.3064,0.7986,43.0,15.0,6.6,0.4,0.0,1452.022927578169,-1,0.0,12.274836325503635,B
13,22020,DET,BOS,108.4,115.2,0.42399999999999993,0.3194,0.6824,48.4,16.4,3.8,0.2,0.3333333333333333,1468.5303197576766,1,1.0,13.634398686569527,109.83333333333333,111.0,0.47783333333333333,0.369,0.7080000000000001,42.166666666666664,15.166666666666666,7.166666666666667,0.5,0.3333333333333333,1498.5569654354806,-1,0.0,18.02602655944744,B
