,GAME_DATE,TEAM_A_ID,TEAM_B_ID,TEAM_A,TEAM_B,TEAM_A_PTS,TEAM_B_PTS,TEAM_A_ODDS,TEAM_B_ODDS
2298,2010-03-26 21:00:00,1610612760,1610612747,Oklahoma City Thunder,Los Angeles Lakers,91,75,2.02,1.81
2299,2010-03-27 20:30:00,1610612738,1610612758,Boston Celtics,Sacramento Kings,94,86,1.09,7.44
2300,2010-03-27 20:00:00,1610612766,1610612764,Charlotte Hornets,Washington Wizards,107,96,1.15,5.65
2301,2010-03-27 20:00:00,1610612754,1610612762,Indiana Pacers,Utah Jazz,122,106,2.89,1.43
2302,2010-03-27 20:00:00,1610612753,1610612750,Orlando Magic,Minnesota Timberwolves,106,97,1.02,15.70
2303,2010-03-27 20:00:00,1610612755,1610612737,Philadelphia 76ers,Atlanta Hawks,105,98,2.88,1.43
2304,2010-03-27 20:00:00,1610612761,1610612743,Toronto Raptors,Denver Nuggets,96,97,2.99,1.41
2305,2010-03-26 23:30:00,1610612757,1610612742,Portland Trail Blazers,Dallas Mavericks,101,89,1.60,2.40
2306,2010-03-27 20:00:00,1610612764,1610612762,Washington Wizards,Utah Jazz,87,103,5.09,1.17
2307,2010-03-26 23:00:00,1610612756,1610612752,Phoenix Suns,New York Knicks,132,96,1.12,6.83
2308,2010-03-28 20:00:00,1610612750,1610612756,Minnesota Timberwolves,Phoenix Suns,105,111,4.82,1.20
2309,2010-03-28 20:00:00,1610612760,1610612757,Oklahoma City Thunder,Portland Trail Blazers,87,92,1.55,2.49
2310,2010-03-28 19:00:00,1610612765,1610612741,Detroit Pistons,Chicago Bulls,103,110,1.72,2.15
2311,2010-03-28 19:00:00,1610612748,1610612761,Miami Heat,Toronto Raptors,97,94,1.32,3.42
2312,2010-03-28 19:00:00,1610612753,1610612743,Orlando Magic,Denver Nuggets,103,97,1.36,3.19
2313,2010-03-28 16:30:00,1610612737,1610612754,Atlanta Hawks,Indiana Pacers,94,84,1.24,4.14
2314,2010-03-28 16:00:00,1610612739,1610612758,Cleveland Cavaliers,Sacramento Kings,97,90,1.04,10.88
2315,2010-03-28 16:00:00,1610612749,1610612763,Milwaukee Bucks,Memphis Grizzlies,108,103,1.57,2.46
2316,2010-03-27 23:30:00,1610612744,1610612742,Golden State Warriors,Dallas Mavericks,90,111,2.38,1.59
2317,2010-03-27 22:30:00,1610612745,1610612747,Houston Rockets,Los Angeles Lakers,101,109,3.19,1.36
2318,2010-03-27 22:00:00,1610612741,1610612751,Chicago Bulls,Brooklyn Nets,106,83,1.18,5.00
2319,2010-03-27 22:00:00,1610612740,1610612757,New Orleans Pelicans,Portland Trail Blazers,101,112,2.38,1.60
2320,2010-03-29 20:30:00,1610612751,1610612759,Brooklyn Nets,San Antonio Spurs,90,84,3.74,1.28
2321,2010-03-29 20:00:00,1610612766,1610612761,Charlotte Hornets,Toronto Raptors,101,103,1.22,4.31
2322,2010-03-28 22:30:00,1610612746,1610612744,Los Angeles Clippers,Golden State Warriors,103,121,1.40,3.01
2323,2010-03-28 21:00:00,1610612738,1610612759,Boston Celtics,San Antonio Spurs,73,94,1.63,2.30
2324,2010-03-30 20:00:00,1610612754,1610612758,Indiana Pacers,Sacramento Kings,102,95,1.32,3.38
2325,2010-03-30 20:00:00,1610612755,1610612760,Philadelphia 76ers,Oklahoma City Thunder,93,111,3.11,1.38
2326,2010-03-29 22:00:00,1610612762,1610612752,Utah Jazz,New York Knicks,103,98,1.10,7.44
2327,2010-03-29 21:30:00,1610612742,1610612743,Dallas Mavericks,Denver Nuggets,109,93,1.44,2.80
2328,2010-03-29 21:00:00,1610612740,1610612747,New Orleans Pelicans,Los Angeles Lakers,108,100,3.13,1.37
2329,2010-03-31 20:30:00,1610612751,1610612756,Brooklyn Nets,Phoenix Suns,105,116,3.58,1.31
2330,2010-03-31 20:30:00,1610612765,1610612748,Detroit Pistons,Miami Heat,81,98,3.28,1.35
2331,2010-03-31 20:00:00,1610612737,1610612747,Atlanta Hawks,Los Angeles Lakers,109,92,1.85,1.96
2332,2010-03-31 20:00:00,1610612766,1610612755,Charlotte Hornets,Philadelphia 76ers,103,84,1.13,6.11
2333,2010-03-31 20:00:00,1610612739,1610612749,Cleveland Cavaliers,Milwaukee Bucks,101,98,1.16,5.45
2334,2010-03-31 20:00:00,1610612761,1610612746,Toronto Raptors,Los Angeles Clippers,114,92,1.14,5.87
2335,2010-03-30 21:30:00,1610612745,1610612764,Houston Rockets,Washington Wizards,98,94,1.30,3.54
2336,2010-03-30 21:00:00,1610612741,1610612756,Chicago Bulls,Phoenix Suns,105,111,2.31,1.62
2337,2010-03-30 21:00:00,1610612749,1610612746,Milwaukee Bucks,Los Angeles Clippers,107,89,1.11,6.81
2338,2010-03-31 20:30:00,1610612738,1610612760,Boston Celtics,Oklahoma City Thunder,104,109,1.64,2.32
2339,2010-03-31 23:00:00,1610612757,1610612752,Portland Trail Blazers,New York Knicks,118,90,1.12,6.81
2340,2010-03-31 23:00:00,1610612762,1610612744,Utah Jazz,Golden State Warriors,128,104,1.06,9.78
2341,2010-03-31 21:30:00,1610612759,1610612745,San Antonio Spurs,Houston Rockets,119,102,1.11,7.13
2342,2010-03-31 21:00:00,1610612763,1610612742,Memphis Grizzlies,Dallas Mavericks,102,106,2.07,1.78
2343,2010-03-31 21:00:00,1610612750,1610612758,Minnesota Timberwolves,Sacramento Kings,108,99,1.71,2.19
