,SEASON_ID,GAME_DATE,TEAM_A,TEAM_B,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,PER_A,ODDS_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,PER_B,ODDS_B,WINNER
0,22017,2017-10-28,DAL,PHI,97.83333333333333,106.66666666666667,0.4076666666666666,0.3595,0.7454999999999999,41.333333333333336,13.166666666666666,3.0,0.16666666666666666,0.25,1459.3472091011593,13.8463446930139,2.13,100.4,108.2,0.42840000000000006,0.3566,0.6896,45.6,18.2,4.2,0.2,0.3333333333333333,1470.7544327346443,15.774125605526205,1.73,0
1,22017,2017-10-28,MEM,HOU,100.4,95.2,0.43739999999999996,0.33540000000000003,0.7615999999999999,41.0,14.8,4.4,0.8,1.0,1523.9308947879597,14.534613542046428,1.38,106.33333333333333,101.16666666666667,0.4503333333333333,0.2996666666666667,0.8155000000000001,45.166666666666664,16.0,5.5,0.8333333333333334,1.0,1531.6738366478203,14.754203011062158,2.98,1
2,22017,2017-10-29,GSW,DET,120.0,114.16666666666667,0.5078333333333332,0.4015,0.8611666666666667,46.0,17.166666666666668,8.666666666666666,0.6666666666666666,0.6666666666666666,1527.6154634162126,20.959877438158628,1.08,104.5,99.5,0.454,0.3405,0.7751666666666667,43.166666666666664,13.666666666666666,2.8333333333333335,0.6666666666666666,0.6666666666666666,1524.4441116855419,17.90909338457065,9.71,0
3,22017,2017-10-29,BKN,DEN,115.33333333333333,117.33333333333333,0.4495,0.3651666666666667,0.7676666666666666,44.0,16.666666666666668,4.0,0.5,1.0,1490.1932935544676,16.66928344340471,2.74,98.8,100.8,0.4466,0.32399999999999995,0.7278,47.4,17.2,2.4,0.4,0.3333333333333333,1489.7148828961538,13.729190706435753,1.49,0
4,22017,2017-10-29,IND,SAS,114.0,115.6,0.4842000000000001,0.331,0.7491999999999999,42.8,14.6,4.2,0.4,0.5,1492.5793899443793,19.181771221982903,3.24,99.8,97.4,0.4408,0.2938,0.767,50.0,14.6,7.4,0.8,0.6666666666666666,1517.7461098438691,16.127814825931022,1.38,1
5,22017,2017-10-29,SAC,WAS,98.6,104.0,0.434,0.38119999999999993,0.7588,41.8,13.8,3.4,0.2,0.0,1470.1755230914368,14.82332039177875,3.42,112.0,110.4,0.45199999999999996,0.3224,0.7851999999999999,42.6,14.4,6.2,0.6,0.3333333333333333,1508.4576701488265,18.72297887820285,1.35,0
6,22017,2017-10-29,CHA,ORL,99.2,99.6,0.41879999999999995,0.3346,0.711,49.2,15.0,4.4,0.4,0.6666666666666666,1495.9763766247456,12.04884356398021,1.58,118.0,107.2,0.4986,0.4475999999999999,0.7702,45.8,15.6,6.0,0.8,0.5,1546.5492460519088,22.862560697807396,2.49,1
7,22017,2017-10-30,NYK,DEN,100.2,101.4,0.44139999999999996,0.28779999999999994,0.7056000000000001,45.8,16.0,4.0,0.4,0.5,1497.5693514876148,15.98724991957306,2.53,103.0,102.5,0.4555,0.36166666666666664,0.7505000000000001,47.166666666666664,15.333333333333334,3.1666666666666665,0.5,0.5,1501.9892348777078,14.20684194444277,1.57,1
8,22017,2017-10-30,BOS,SAS,100.5,95.0,0.4318333333333333,0.3498333333333334,0.7494999999999999,45.166666666666664,14.666666666666666,4.5,0.6666666666666666,0.5,1527.3178075545354,14.162111362097896,1.62,98.83333333333333,97.33333333333333,0.434,0.29833333333333334,0.7595000000000001,49.0,15.0,7.5,0.6666666666666666,0.5,1511.6280628025027,14.636825875704254,2.41,1
9,22017,2017-10-30,LAC,GSW,106.2,92.4,0.4418,0.3774,0.7378000000000001,50.4,14.2,4.0,0.8,0.6666666666666666,1544.660737848328,16.60234966507801,2.94,118.14285714285714,114.28571428571429,0.5168571428571428,0.3970000000000001,0.8452857142857144,45.142857142857146,18.428571428571427,9.0,0.5714285714285714,0.6666666666666666,1518.4299756547555,20.96517175055854,1.44,0
10,22017,2017-10-30,HOU,PHI,103.85714285714286,101.42857142857143,0.43985714285714284,0.30942857142857144,0.8147142857142858,44.857142857142854,16.428571428571427,5.142857142857143,0.7142857142857143,0.5,1518.4436110223742,17.846239340454172,1.34,102.33333333333333,108.5,0.43933333333333335,0.3733333333333333,0.6936666666666667,45.0,17.5,3.6666666666666665,0.3333333333333333,0.5,1475.3854496910385,16.126927309656647,3.43,0
11,22017,2017-10-30,MIA,MIN,103.0,106.0,0.461,0.3258,0.7769999999999999,40.4,14.8,6.4,0.4,0.5,1487.5405277873017,13.172889031449651,2.33,106.83333333333333,114.16666666666667,0.465,0.373,0.7728333333333334,39.833333333333336,15.166666666666666,3.6666666666666665,0.5,0.3333333333333333,1473.641107192488,16.983102477508275,1.65,0
12,22017,2017-10-30,POR,TOR,111.33333333333333,98.16666666666667,0.4335,0.445,0.8233333333333334,51.666666666666664,14.333333333333334,6.166666666666667,0.6666666666666666,0.6666666666666666,1548.9133874762847,18.122484959951166,1.6,111.0,100.8,0.4508,0.29779999999999995,0.8412000000000001,43.2,15.4,5.6,0.6,0.3333333333333333,1530.258246041963,18.224911410183058,2.44,0
