,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PER_A,WINNER
42,DAL,1610612742,2018-10-31,113,114,0.5,0.448,0.737,40,23,5,0.2857142857142857,0.0,1466.1760000295565,-4,15.42759777221954,0
43,LAL,1610612747,2018-10-31,114,113,0.512,0.588,0.75,39,20,6,0.2857142857142857,0.3333333333333333,1488.6243645588022,-2,22.919613497411063,1
44,DEN,1610612743,2018-10-31,108,107,0.455,0.269,0.611,56,16,9,0.8333333333333334,0.5,1542.8651915442026,1,18.081243744010603,1
45,CHI,1610612741,2018-10-31,107,108,0.424,0.471,0.722,43,14,6,0.2857142857142857,0.3333333333333333,1457.5895927435693,-1,15.981608783290579,0
46,IND,1610612754,2018-10-31,107,101,0.542,0.3,0.647,41,15,10,0.5714285714285714,0.5,1522.9368451471105,-1,16.07336445564504,1
47,NYK,1610612752,2018-10-31,101,107,0.43,0.48,0.875,35,17,6,0.2857142857142857,0.5,1478.143134717209,1,16.948232366708936,0
48,PHX,1610612756,2018-10-31,90,120,0.389,0.25,0.778,35,15,3,0.16666666666666666,0.5,1441.2926847372437,-5,15.914982866832059,0
49,SAS,1610612759,2018-10-31,120,90,0.554,0.222,0.923,47,14,6,0.6666666666666666,0.5,1495.7970544201658,2,16.676130651620635,1
50,DET,1610612765,2018-10-31,119,120,0.419,0.324,0.769,55,17,6,0.6666666666666666,0.5,1498.2868977089165,-2,14.60661905664107,0
51,BKN,1610612751,2018-10-31,120,119,0.426,0.316,0.733,55,16,3,0.2857142857142857,0.5,1469.0587368102565,-3,15.858436046783341,1
52,MIN,1610612750,2018-10-31,128,125,0.581,0.48,0.667,41,16,8,0.42857142857142855,0.75,1487.9632214835906,1,16.559789934811658,1
53,UTA,1610612762,2018-10-31,125,128,0.485,0.433,0.6,48,14,5,0.6666666666666666,1.0,1532.6363900851006,3,17.170203323217088,0
54,LAC,1610612746,2018-11-01,113,122,0.442,0.391,0.848,42,18,7,0.5714285714285714,0.3333333333333333,1516.9930455581098,-1,18.099872147201072,0
55,PHI,1610612755,2018-11-01,122,113,0.473,0.481,0.75,43,16,7,0.5,1.0,1498.1820993162512,-1,17.65265751285146,1
56,MIL,1610612749,2018-11-01,113,117,0.482,0.31,0.733,45,14,3,1.0,1.0,1585.886817064741,7,20.720129393309776,0
57,BOS,1610612738,2018-11-01,117,113,0.446,0.436,0.846,42,13,8,0.7142857142857143,0.6666666666666666,1531.1241052612818,3,13.00800319824929,1
58,DEN,1610612743,2018-11-01,110,91,0.482,0.385,0.857,44,12,7,0.8571428571428571,0.6666666666666666,1545.738479618,2,17.397753129588846,1
59,CLE,1610612739,2018-11-01,91,110,0.41,0.278,0.947,35,14,4,0.14285714285714285,0.25,1453.425576516568,1,16.215040747482863,0
60,NOP,1610612740,2018-11-01,119,132,0.426,0.276,0.838,44,13,3,0.5714285714285714,0.3333333333333333,1508.3638716885973,-3,18.005425947911558,0
61,POR,1610612757,2018-11-01,132,119,0.506,0.514,0.839,46,14,4,0.7142857142857143,0.6666666666666666,1541.5088885365553,2,20.2185318877043,1
62,ATL,1610612737,2018-11-01,115,146,0.483,0.258,0.676,43,22,6,0.2857142857142857,0.5,1448.2939670422732,-3,14.55005099577111,0
63,SAC,1610612758,2018-11-01,146,115,0.541,0.4,0.813,46,14,3,0.625,0.6,1510.7487428804977,4,18.53163161864551,1
64,OKC,1610612760,2018-11-01,111,107,0.427,0.216,0.724,49,10,9,0.3333333333333333,0.0,1486.5028149591376,2,16.600127386077236,1
65,CHA,1610612766,2018-11-01,107,111,0.409,0.268,0.909,51,18,3,0.5,0.6666666666666666,1526.8761600972346,1,19.215985498478737,0
66,MIN,1610612750,2018-11-02,99,116,0.376,0.289,0.714,39,5,4,0.5,0.0,1494.5024452014584,2,17.702199571419285,0
67,GSW,1610612744,2018-11-02,116,99,0.489,0.382,0.773,61,16,9,0.8888888888888888,1.0,1583.6650797538407,6,23.369730305172567,1
68,CHI,1610612741,2018-11-02,105,107,0.472,0.419,0.889,43,14,7,0.25,0.25,1454.716304669772,-2,17.777917962399112,0
69,IND,1610612754,2018-11-02,107,105,0.471,0.269,0.909,42,11,9,0.625,0.6,1529.4448902425343,1,16.193999511909915,1
70,PHX,1610612756,2018-11-02,98,107,0.44,0.308,0.556,49,16,4,0.14285714285714285,0.3333333333333333,1423.601307040768,-6,16.857734475680914,0
71,TOR,1610612761,2018-11-02,107,98,0.506,0.364,0.619,39,14,10,0.875,0.5,1560.4164323870884,1,23.896812944304717,1
72,HOU,1610612745,2018-11-02,119,111,0.494,0.385,0.688,41,9,10,0.16666666666666666,0.5,1450.8279976835286,-4,15.359203014504699,1
73,BKN,1610612751,2018-11-02,111,119,0.494,0.441,0.6,38,12,4,0.375,0.6666666666666666,1473.5447699887288,1,14.819937127696896,0
74,LAC,1610612746,2018-11-02,120,95,0.477,0.5,0.758,50,14,3,0.5,0.25,1506.5759546911347,-2,16.983284477772894,1
75,ORL,1610612753,2018-11-02,95,120,0.444,0.235,0.579,40,10,4,0.2857142857142857,0.25,1452.9499364155906,-3,16.93592767535469,0
76,UTA,1610612762,2018-11-02,100,110,0.468,0.389,0.56,39,14,5,0.5714285714285714,0.0,1526.0971663672328,-1,16.4250898362864,0
77,MEM,1610612763,2018-11-02,110,100,0.507,0.5,0.618,39,11,3,0.6666666666666666,0.3333333333333333,1518.6094134036537,2,17.043556775543436,1
78,DAL,1610612742,2018-11-02,106,118,0.494,0.379,0.625,40,19,1,0.25,0.6666666666666666,1462.4615866595473,-5,15.512698763771605,0
79,NYK,1610612752,2018-11-02,118,106,0.548,0.241,0.731,40,12,4,0.25,0.0,1471.6350896217853,-1,17.903356523136615,1
80,WAS,1610612764,2018-11-02,111,134,0.512,0.3,0.778,30,19,4,0.14285714285714285,0.0,1444.147665144612,-4,15.673695753424894,0
81,OKC,1610612760,2018-11-02,134,111,0.57,0.469,0.808,38,13,5,0.42857142857142855,0.3333333333333333,1493.7943149483424,3,17.278140278544146,1
82,DET,1610612765,2018-11-03,99,109,0.398,0.167,0.683,44,17,3,0.5714285714285714,0.3333333333333333,1493.8008645304442,-3,18.552448098585838,0
83,PHI,1610612755,2018-11-03,109,99,0.406,0.31,0.863,45,18,3,0.5555555555555556,1.0,1508.5991901832263,1,18.354381008642385,1
84,SAS,1610612759,2018-11-03,109,95,0.469,0.348,0.786,43,9,4,0.7142857142857143,0.75,1513.4884321166414,3,15.525978296159417,1
85,NOP,1610612740,2018-11-03,95,109,0.468,0.286,0.567,48,16,8,0.5,0.25,1497.5628593574456,-4,25.458713861473786,0
86,HOU,1610612745,2018-11-03,96,88,0.422,0.31,0.65,45,19,5,0.2857142857142857,0.6666666666666666,1460.679135662532,1,21.153528726260564,1
87,CHI,1610612741,2018-11-03,88,96,0.394,0.261,0.963,37,19,4,0.2222222222222222,0.2,1451.122802190382,-3,15.528899146082962,0
88,POR,1610612757,2018-11-03,110,114,0.423,0.171,0.727,50,14,5,0.75,0.75,1552.309900867707,3,18.498109117764432,0
89,LAL,1610612747,2018-11-03,114,110,0.523,0.381,0.64,50,20,11,0.375,0.25,1492.3387779288114,1,21.256242154444312,1
90,BOS,1610612738,2018-11-03,101,102,0.432,0.413,0.667,45,14,8,0.75,0.75,1538.7722099815956,4,15.300196073844692,0
91,IND,1610612754,2018-11-03,102,101,0.419,0.344,0.76,45,13,2,0.6666666666666666,0.6666666666666666,1533.0383927219243,2,18.13584465601063,1
92,ATL,1610612737,2018-11-03,123,118,0.523,0.406,0.783,37,18,7,0.25,0.3333333333333333,1430.7592094591191,-4,18.228683047976162,1
93,MIA,1610612748,2018-11-03,118,123,0.482,0.4,0.769,41,18,6,0.42857142857142855,0.3333333333333333,1500.1072723047148,-2,15.853182545058223,0
94,UTA,1610612762,2018-11-03,88,103,0.407,0.194,0.667,40,13,7,0.5,0.8,1515.432148319293,-2,16.261478319705763,0
95,DEN,1610612743,2018-11-03,103,88,0.494,0.321,0.632,48,17,0,0.875,1.0,1556.6375498868538,3,21.06329138225099,1
96,CHA,1610612766,2018-11-03,126,94,0.571,0.333,0.923,50,15,7,0.4444444444444444,0.5,1519.5846601080298,-1,17.971295659389433,1
97,CLE,1610612739,2018-11-03,94,126,0.432,0.385,0.933,26,15,2,0.125,0.0,1442.5265062477142,-1,13.739172858525476,0
98,SAS,1610612759,2018-11-04,110,117,0.432,0.343,0.88,43,11,5,0.75,0.8,1525.6065916267764,4,18.684302437126476,0
99,ORL,1610612753,2018-11-04,117,110,0.505,0.375,0.722,43,9,4,0.25,0.3333333333333333,1437.3817912658133,-4,17.19372501351696,1
100,TOR,1610612761,2018-11-04,121,107,0.5,0.286,0.929,49,13,4,0.8888888888888888,0.6666666666666666,1565.903240269468,2,16.437943869695292,1
101,LAL,1610612747,2018-11-04,107,121,0.459,0.25,0.793,38,16,4,0.4444444444444444,0.5,1500.117274617235,2,18.84974498065517,0
102,PHX,1610612756,2018-11-04,102,100,0.516,0.438,0.846,37,25,3,0.125,0.25,1418.1144991583885,-7,15.335802076188413,1
