,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,WINNER
0,NJN,1610612751,2008-11-12,87,98,0.425,0.364,0.733,42,18,3,0.3333333333333333,0.3333333333333333,1469.3367329447656,1515.1889543180823,-2,11.329472749957837,0
1,IND,1610612754,2008-11-12,98,87,0.473,0.4,0.88,38,12,5,0.5,0.0,1515.1889543180823,1469.3367329447656,2,13.92541916639509,1
2,PHI,1610612755,2008-11-12,106,96,0.538,0.545,0.824,40,13,6,0.2857142857142857,0.0,1483.0778085929799,1502.7825618381564,-3,13.539623877211906,1
3,TOR,1610612761,2008-11-12,96,106,0.425,0.238,0.821,37,14,5,0.5714285714285714,0.5,1502.7825618381564,1483.0778085929799,-1,13.977994426745404,0
4,MIL,1610612749,2008-11-15,97,102,0.365,0.417,0.789,43,14,4,0.5,0.5,1497.0107572256807,1545.6715751393294,2,13.788098603531777,0
5,BOS,1610612738,2008-11-15,102,97,0.463,0.444,0.889,37,19,9,0.8,0.75,1545.6715751393294,1497.0107572256807,-1,14.554670622255276,1
6,MIN,1610612750,2008-11-15,83,88,0.442,0.286,0.929,33,11,4,0.14285714285714285,0.3333333333333333,1456.7267625791262,1495.7833775231873,-6,14.201043451411847,0
7,POR,1610612757,2008-11-15,88,83,0.44,0.45,0.722,41,12,7,0.5555555555555556,0.3333333333333333,1495.7833775231873,1456.7267625791262,-1,14.838115861483175,1
8,HOU,1610612745,2008-11-17,100,89,0.506,0.125,0.938,48,17,4,0.6,0.5,1523.818814922548,1420.0898600775572,1,13.204186465469075,1
9,OKC,1610612760,2008-11-17,89,100,0.405,0.375,0.667,39,13,4,0.1,0.2,1420.0898600775572,1523.818814922548,-7,12.189754330996584,0
10,WAS,1610612764,2008-11-18,87,94,0.413,0.25,0.852,37,15,2,0.14285714285714285,0.3333333333333333,1448.4847095655157,1515.9576596351349,-1,14.570436423861416,0
11,MIA,1610612748,2008-11-18,94,87,0.45,0.36,0.619,42,14,9,0.5,0.2,1515.9576596351349,1448.4847095655157,-1,16.925506931591265,1
12,MEM,1610612763,2008-11-18,109,94,0.542,0.625,0.724,46,17,2,0.3,0.5,1450.6693551120343,1467.5014261952642,-4,12.454851265554417,1
13,SAC,1610612758,2008-11-18,94,109,0.45,0.158,0.76,33,10,3,0.36363636363636365,0.2,1467.5014261952642,1450.6693551120343,-2,12.618720784831778,0
14,MIA,1610612748,2008-11-19,95,101,0.443,0.304,0.667,41,10,7,0.5454545454545454,0.8,1522.4086616207496,1493.505608117868,1,16.49029417591316,0
15,TOR,1610612761,2008-11-19,101,95,0.463,0.692,0.8,43,13,4,0.5,0.5,1493.505608117868,1522.4086616207496,-1,15.15698589690381,1
16,HOU,1610612745,2008-11-19,86,96,0.372,0.24,0.71,40,12,4,0.6363636363636364,0.75,1531.0379238905723,1489.5966164850083,2,13.660880686630934,0
17,DAL,1610612742,2008-11-19,96,86,0.455,0.353,0.769,46,16,5,0.36363636363636365,0.5714285714285714,1489.5966164850083,1531.0379238905723,2,18.377630757555448,1
18,BOS,1610612738,2008-11-20,98,80,0.493,0.5,0.679,42,13,4,0.8333333333333334,0.8571428571428571,1559.572752640785,1537.8658161356964,2,14.46811884722383,1
19,DET,1610612765,2008-11-20,80,98,0.426,0.385,0.708,37,17,4,0.7272727272727273,0.7142857142857143,1537.8658161356964,1559.572752640785,1,15.791544818167393,0
20,LAL,1610612747,2008-11-21,104,90,0.488,0.273,0.8,43,15,9,0.9,0.8,1592.2401615035344,1536.0299529647186,2,18.11461197570387,1
21,DEN,1610612743,2008-11-21,90,104,0.429,0.263,0.65,39,15,3,0.6666666666666666,0.5714285714285714,1536.0299529647186,1592.2401615035344,4,16.01583564869784,0
22,MIL,1610612749,2008-11-21,104,87,0.442,0.286,0.727,60,14,6,0.38461538461538464,0.4,1472.992572133568,1494.9137166779021,-3,11.461132334201384,1
23,NYK,1610612752,2008-11-21,87,104,0.344,0.233,0.783,46,14,3,0.5454545454545454,0.4,1494.9137166779021,1472.992572133568,-2,10.640368123317767,0
24,NYK,1610612752,2008-11-22,122,117,0.478,0.444,0.833,43,15,2,0.5,0.6666666666666666,1479.0653664067002,1428.7889930366887,-3,13.953815679100062,1
25,WAS,1610612764,2008-11-22,117,122,0.463,0.3,0.885,48,10,4,0.1,0.0,1428.7889930366887,1479.0653664067002,-4,11.399748839667206,0
26,OKC,1610612760,2008-11-22,97,109,0.528,0.417,0.696,29,12,1,0.07692307692307693,0.0,1384.1885500006097,1516.207251129697,-10,10.115005310460186,0
27,NOH,1610612740,2008-11-22,109,97,0.541,0.353,0.958,35,12,4,0.5454545454545454,0.5,1516.207251129697,1384.1885500006097,1,15.413960874472313,1
28,PHX,1610612756,2008-11-22,102,92,0.533,0.444,0.667,44,18,4,0.6153846153846154,0.5,1517.6687905797517,1537.1867694027144,-2,14.293427726975192,1
29,POR,1610612757,2008-11-22,92,102,0.389,0.324,0.611,36,9,5,0.6153846153846154,0.4444444444444444,1537.1867694027144,1517.6687905797517,2,17.148678935471846,0
30,TOR,1610612761,2008-11-23,103,118,0.443,0.467,0.919,31,15,3,0.5,0.4,1496.7120821378242,1582.565330834112,-1,15.743058047651216,0
31,BOS,1610612738,2008-11-23,118,103,0.616,0.588,0.6,38,18,4,0.8571428571428571,0.8333333333333334,1582.565330834112,1496.7120821378242,4,14.302348440465245,1
32,POR,1610612757,2008-11-24,91,90,0.405,0.4,0.708,48,20,4,0.5714285714285714,1.0,1526.053038996583,1446.3021715790771,-1,16.699367038388687,1
33,SAC,1610612758,2008-11-24,90,91,0.465,0.529,0.75,32,22,1,0.3333333333333333,0.25,1446.3021715790771,1526.053038996583,-2,15.852294629208137,0
34,ORL,1610612753,2008-11-26,96,94,0.471,0.346,0.767,39,18,3,0.7142857142857143,0.8,1554.264625766476,1503.6694037385748,1,14.764655301106629,1
35,PHI,1610612755,2008-11-26,94,96,0.444,0.231,0.792,39,14,3,0.5,0.7142857142857143,1503.6694037385748,1554.264625766476,-1,14.30805086446894,0
36,MEM,1610612763,2008-11-26,100,117,0.532,0.25,0.536,30,16,3,0.2857142857142857,0.14285714285714285,1435.7089123839628,1513.1416505554478,-3,13.361693239705135,0
37,UTA,1610612762,2008-11-26,117,100,0.537,0.357,0.857,44,16,3,0.6,0.8571428571428571,1513.1416505554478,1435.7089123839628,-1,15.570123989847067,1
38,MIA,1610612748,2008-11-26,68,106,0.345,0.105,0.8,28,9,4,0.5,0.3333333333333333,1514.368360334641,1528.9953977791445,-1,10.536255176755004,0
39,POR,1610612757,2008-11-26,106,68,0.494,0.423,0.85,55,17,9,0.6,1.0,1528.9953977791445,1514.368360334641,1,14.213465041841014,1
40,CHA,1610612766,2008-11-26,86,93,0.43,0.188,0.714,39,14,1,0.3076923076923077,0.0,1458.7145600695742,1487.1651251653532,1,13.192517474055041,0
41,TOR,1610612761,2008-11-26,93,86,0.5,0.375,0.882,37,12,7,0.46153846153846156,0.3333333333333333,1487.1651251653532,1458.7145600695742,-2,12.957070205691261,1
42,DEN,1610612743,2008-11-26,106,105,0.452,0.25,0.837,40,19,4,0.6428571428571429,0.5,1536.1773461874814,1407.7961753496456,1,15.35255037364117,1
43,LAC,1610612746,2008-11-26,105,106,0.481,0.316,0.724,35,18,8,0.14285714285714285,0.1111111111111111,1407.7961753496456,1536.1773461874814,-3,11.944100730010248,0
44,ORL,1610612753,2008-11-27,105,90,0.469,0.316,0.767,49,11,5,0.7333333333333333,0.8333333333333334,1558.2369968125429,1445.455530415323,2,12.797612063421084,1
45,WAS,1610612764,2008-11-27,90,105,0.422,0.176,0.773,46,13,3,0.16666666666666666,0.3333333333333333,1445.455530415323,1558.2369968125429,1,13.041586685387115,0
46,MEM,1610612763,2008-11-28,98,109,0.545,0.364,0.833,31,14,3,0.26666666666666666,0.125,1424.9400070327854,1522.6672178444023,-4,13.281248824619208,0
47,SAS,1610612759,2008-11-28,109,98,0.566,0.563,0.667,37,13,1,0.5714285714285714,0.5,1522.6672178444023,1424.9400070327854,3,14.220281951037272,1
48,DAL,1610612742,2008-11-28,107,114,0.512,0.448,0.889,36,14,4,0.5,0.625,1518.7811354559763,1620.5069579133667,5,14.445452982437507,0
49,LAL,1610612747,2008-11-28,114,107,0.49,0.3,0.933,45,10,9,0.9230769230769231,0.875,1620.5069579133667,1518.7811354559763,5,19.594641787416613,1
50,OKC,1610612760,2008-11-28,103,105,0.5,0.438,0.667,33,10,2,0.0625,0.1111111111111111,1365.9683912590192,1463.9629529724707,-13,12.209814833792251,0
51,MIN,1610612750,2008-11-28,105,103,0.468,0.571,0.767,43,15,4,0.23076923076923078,0.16666666666666666,1463.9629529724707,1365.9683912590192,-1,15.56562029639339,1
52,NOH,1610612740,2008-11-28,86,101,0.443,0.5,0.8,32,12,2,0.6428571428571429,0.7142857142857143,1536.926852174137,1553.6242864279056,4,14.415242774515214,0
53,POR,1610612757,2008-11-28,101,86,0.536,0.348,0.76,38,12,7,0.625,1.0,1553.6242864279056,1536.926852174137,2,16.98673987498924,1
54,ATL,1610612737,2008-11-28,88,93,0.422,0.308,0.909,44,15,6,0.6428571428571429,0.5,1516.5208110089548,1494.7186061554385,1,14.367946878533438,0
