,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,WINNER
0,MIL,1610612749,2010-11-06,81,87,0.386,0.25,0.65,42,12,0,0.3333333333333333,0.5,1482.9786461046283,1537.7942668336993,1,9.494408423051247,0
1,NOH,1610612740,2010-11-06,87,81,0.449,0.412,0.818,47,19,5,1.0,1.0,1537.7942668336993,1482.9786461046283,5,18.68515143793545,1
2,PHX,1610612756,2010-11-08,99,109,0.475,0.29,0.667,41,23,4,0.5,0.6666666666666666,1502.1445661672915,1489.7927712999553,2,15.848791229434068,0
3,MEM,1610612763,2010-11-08,109,99,0.476,0.333,0.857,45,15,2,0.42857142857142855,0.5,1489.7927712999553,1502.1445661672915,1,16.259925496240793,1
4,LAC,1610612746,2010-11-10,95,107,0.465,0.7,0.571,34,15,4,0.125,0.0,1447.931272499598,1525.2197969304684,-3,9.766089935295112,0
5,SAS,1610612759,2010-11-10,107,95,0.493,0.611,0.867,41,19,11,0.8333333333333334,0.6666666666666666,1525.2197969304684,1447.931272499598,4,16.96394168719025,1
6,CLE,1610612739,2010-11-10,87,95,0.442,0.25,0.727,40,11,3,0.5714285714285714,0.3333333333333333,1496.1785966676246,1465.626089596296,3,13.61630057564625,0
7,NJN,1610612751,2010-11-10,95,87,0.415,0.471,0.543,48,9,5,0.2857142857142857,0.0,1465.626089596296,1496.1785966676246,-5,13.966926307945268,1
8,SAC,1610612758,2010-11-10,89,98,0.444,0.25,0.625,41,19,8,0.5,0.3333333333333333,1487.228911181667,1417.1984423773017,-2,15.33039105484363,0
9,MIN,1610612750,2010-11-10,98,89,0.471,0.364,0.6,41,15,2,0.125,0.0,1417.1984423773017,1487.228911181667,-6,12.620357935806693,1
10,MEM,1610612763,2010-11-10,91,106,0.452,0.286,0.579,40,12,3,0.5,0.6666666666666666,1500.6463151406,1519.686169595084,2,18.26271445351828,0
11,DAL,1610612742,2010-11-10,106,91,0.541,0.36,0.455,49,10,5,0.6666666666666666,1.0,1519.686169595084,1500.6463151406,1,14.97403156334773,1
12,BOS,1610612738,2010-11-11,112,107,0.544,0.563,0.68,35,12,0,0.75,0.5,1536.4576663636603,1555.6219758836394,-1,16.898604825905128,1
13,MIA,1610612748,2010-11-11,107,112,0.5,0.188,0.78,37,14,4,0.625,0.75,1555.6219758836394,1536.4576663636603,-1,19.072990318609,0
14,POR,1610612757,2010-11-12,108,110,0.539,0.467,0.792,30,15,4,0.6666666666666666,0.6,1531.479703815905,1484.3877433188206,1,16.514195024377376,0
15,OKC,1610612760,2010-11-12,110,108,0.548,0.5,0.923,30,14,8,0.5714285714285714,0.5,1484.3877433188206,1531.479703815905,1,16.208881672248847,1
16,ORL,1610612753,2010-11-13,91,90,0.416,0.32,0.731,43,10,4,0.625,0.5,1527.3599349274532,1475.749186583361,-2,15.406217533228551,1
17,NJN,1610612751,2010-11-13,90,91,0.493,0.444,0.8,31,13,5,0.375,0.4,1475.749186583361,1527.3599349274532,1,14.014678830025412,0
