,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PER_A,WINNER
0,ATL,1610612737,2010-11-05,113,103,0.543,0.222,0.808,43,15,8,1.0,1.0,1541.454029801405,5,18.981495767184875,1
1,MIN,1610612750,2010-11-05,103,113,0.424,0.364,0.917,42,11,8,0.2,0.5,1445.635184050088,-3,14.121506100448011,0
2,POR,1610612757,2010-11-06,97,84,0.453,0.25,0.893,43,18,5,0.6666666666666666,0.5,1523.2795855421007,-1,16.131474248869583,1
3,TOR,1610612761,2010-11-06,84,97,0.368,0.059,0.794,44,17,1,0.2,0.0,1483.6795431573785,-3,15.454503164920949,0
4,MIL,1610612749,2010-11-06,81,87,0.386,0.25,0.65,42,12,0,0.3333333333333333,0.5,1482.9786461046283,1,9.494408423051247,0
5,NOH,1610612740,2010-11-06,87,81,0.449,0.412,0.818,47,19,5,1.0,1.0,1537.7942668336993,5,18.68515143793545,1
6,LAC,1610612746,2010-11-06,107,109,0.43,0.25,0.875,51,23,9,0.16666666666666666,0.0,1463.461321538392,-1,10.707222091800405,0
7,UTA,1610612762,2010-11-06,109,107,0.412,0.333,0.742,43,12,7,0.4,0.5,1495.8480088711985,-1,15.351196836073562,1
8,MEM,1610612763,2010-11-06,100,91,0.482,0.2,0.739,43,15,5,0.3333333333333333,0.25,1479.3971605265056,-3,17.026024605771735,1
9,SAC,1610612758,2010-11-06,91,100,0.43,0.25,0.75,41,21,10,0.6,0.5,1497.6245219551167,-1,15.612529880027816,0
10,LAL,1610612747,2010-11-07,121,96,0.549,0.471,0.867,49,15,4,1.0,1.0,1562.6572826321078,6,19.211664514702715,1
11,POR,1610612757,2010-11-07,96,121,0.427,0.3,0.839,25,14,2,0.7142857142857143,0.75,1533.8082860009595,1,15.586199235871431,0
12,NYK,1610612752,2010-11-07,96,106,0.4,0.158,0.714,49,17,6,0.6,0.5,1519.0996295953298,2,17.67951198989275,0
13,PHI,1610612755,2010-11-07,106,96,0.474,0.389,0.714,45,16,3,0.16666666666666666,0.0,1481.9006029481343,-1,18.416282949514844,1
14,HOU,1610612745,2010-11-07,120,94,0.442,0.313,0.83,49,7,4,0.0,0.0,1465.3270563494304,-5,12.076942064338654,1
15,MIN,1610612750,2010-11-07,94,120,0.374,0.231,0.697,54,17,5,0.16666666666666666,0.0,1438.5893504493542,-4,12.17167543825054,0
16,ATL,1610612737,2010-11-07,114,118,0.542,0.304,0.773,40,14,4,1.0,1.0,1548.4998634021388,6,19.13330925900536,0
17,PHX,1610612756,2010-11-07,118,114,0.556,0.478,0.773,35,15,1,0.4,0.5,1494.5158996305158,1,13.744352754870889,1
18,OKC,1610612760,2010-11-07,83,92,0.427,0.4,0.882,40,18,2,0.6,0.5,1484.1837506476256,1,16.43740638367172,0
19,BOS,1610612738,2010-11-07,92,83,0.474,0.4,0.8,40,13,3,0.8333333333333334,0.5,1533.7513498924466,4,15.870009024275394,1
20,CHI,1610612741,2010-11-08,94,92,0.415,0.385,0.636,47,15,12,0.4,0.6666666666666666,1496.2573418599454,-2,16.63528325112241,1
21,DEN,1610612743,2010-11-08,92,94,0.436,0.389,0.708,44,18,7,0.6666666666666666,0.6666666666666666,1534.8839397751806,2,17.66351037409803,0
22,ATL,1610612737,2010-11-08,89,93,0.474,0.308,0.813,46,17,3,0.8571428571428571,1.0,1540.8711968653631,-1,16.419494170957883,0
23,ORL,1610612753,2010-11-08,93,89,0.43,0.182,0.625,43,10,2,0.8,1.0,1541.263590041942,3,10.851986395237606,1
24,BOS,1610612738,2010-11-08,87,89,0.418,0.5,1.0,42,13,2,0.8571428571428571,0.6666666666666666,1541.78717537304,5,17.012375655993424,0
25,DAL,1610612742,2010-11-08,89,87,0.5,0.4,0.85,38,19,8,0.6,0.3333333333333333,1514.3566605857043,-1,17.46948164586774,1
26,TOR,1610612761,2010-11-08,102,109,0.458,0.286,0.815,32,17,3,0.16666666666666666,0.5,1473.1508426985197,-4,13.48244052432492,0
27,GSW,1610612744,2010-11-08,109,102,0.527,0.313,0.813,42,21,7,0.6666666666666666,0.0,1508.8182865192439,-1,17.828757297879974,1
28,MEM,1610612763,2010-11-08,109,99,0.476,0.333,0.857,45,15,2,0.42857142857142855,0.5,1489.7927712999553,1,16.259925496240793,1
29,PHX,1610612756,2010-11-08,99,109,0.475,0.29,0.667,41,23,4,0.5,0.6666666666666666,1502.1445661672915,2,15.848791229434068,0
30,CHA,1610612766,2010-11-08,91,95,0.398,0.316,0.792,41,14,10,0.16666666666666666,0.0,1462.683139816477,-2,14.717412836319056,0
31,SAS,1610612759,2010-11-08,95,91,0.424,0.462,0.647,46,17,9,0.8,1.0,1520.164779530323,3,20.417507048658486,1
32,LAL,1610612747,2010-11-09,99,94,0.449,0.333,0.75,42,18,3,1.0,1.0,1579.8442488271605,7,20.568033501552105,1
33,MIN,1610612750,2010-11-09,94,99,0.38,0.381,0.842,54,27,3,0.14285714285714285,0.0,1420.7672634329679,-5,12.2649018826364,0
34,CLE,1610612739,2010-11-09,93,91,0.439,0.529,0.545,44,9,2,0.5,0.6666666666666666,1491.7244800990306,2,13.482290802013766,1
35,NJN,1610612751,2010-11-09,91,93,0.407,0.3,0.905,45,12,7,0.3333333333333333,0.5,1470.08020616489,-4,10.077320104841963,0
36,UTA,1610612762,2010-11-09,116,114,0.484,0.421,0.857,44,12,5,0.5,0.3333333333333333,1500.1200779170124,1,14.94752031089047,1
37,MIA,1610612748,2010-11-09,114,116,0.439,0.4,0.766,46,12,7,0.7142857142857143,1.0,1561.5936349887843,1,16.739832996363624,0
38,POR,1610612757,2010-11-09,100,78,0.5,0.429,0.875,45,14,5,0.625,0.6666666666666666,1516.6213198059068,-1,14.475895977802258,1
39,DET,1610612765,2010-11-09,78,100,0.425,0.353,0.556,33,19,5,0.2857142857142857,0.0,1473.8725839128547,2,13.158088137041954,0
40,MIL,1610612749,2010-11-09,107,80,0.513,0.313,0.786,45,16,5,0.2857142857142857,0.3333333333333333,1476.729925192395,-1,9.55976449181251,1
41,NYK,1610612752,2010-11-09,80,107,0.378,0.263,0.905,34,20,6,0.5,0.6666666666666666,1507.2629970049675,-1,10.256736335137413,0
42,DEN,1610612743,2010-11-09,113,144,0.433,0.471,0.9,32,10,4,0.5714285714285714,0.5,1529.3459582623052,-1,15.51820952224924,0
43,IND,1610612754,2010-11-09,144,113,0.644,0.533,0.762,45,14,7,0.4,0.5,1476.2237185427632,-2,13.420219504256101,1
44,NOH,1610612740,2010-11-09,101,82,0.506,0.5,0.714,33,13,7,1.0,1.0,1544.0429877459326,6,16.63879793271557,1
45,LAC,1610612746,2010-11-09,82,101,0.463,0.313,0.833,39,25,2,0.14285714285714285,0.0,1459.1892524925781,-2,8.590821018599678,0
46,LAC,1610612746,2010-11-10,95,107,0.465,0.7,0.571,34,15,4,0.125,0.0,1447.931272499598,-3,9.766089935295112,0
47,SAS,1610612759,2010-11-10,107,95,0.493,0.611,0.867,41,19,11,0.8333333333333334,0.6666666666666666,1525.2197969304684,4,16.96394168719025,1
48,GSW,1610612744,2010-11-10,122,117,0.528,0.5,0.719,36,14,3,0.7142857142857143,0.3333333333333333,1516.1609109179951,1,16.950059242784835,1
49,NYK,1610612752,2010-11-10,117,122,0.468,0.226,0.884,41,21,4,0.42857142857142855,0.3333333333333333,1484.6755488941974,-2,15.961476557939974,0
50,UTA,1610612762,2010-11-10,104,94,0.5,0.357,0.893,35,14,3,0.5714285714285714,0.5,1506.0917370221573,2,15.261799104499156,1
51,ORL,1610612753,2010-11-10,94,104,0.43,0.375,0.56,41,21,4,0.8333333333333334,1.0,1547.578833391962,4,18.940825162002856,0
52,NJN,1610612751,2010-11-10,95,87,0.415,0.471,0.543,48,9,5,0.2857142857142857,0.0,1465.626089596296,-5,13.966926307945268,1
53,CLE,1610612739,2010-11-10,87,95,0.442,0.25,0.727,40,11,3,0.5714285714285714,0.3333333333333333,1496.1785966676246,3,13.61630057564625,0
54,ATL,1610612737,2010-11-10,91,108,0.493,0.385,0.667,32,17,3,0.75,0.6666666666666666,1534.5559535153432,-2,16.86922512854394,0
55,MIL,1610612749,2010-11-10,108,91,0.517,0.533,0.714,44,13,3,0.375,0.25,1499.3173733031651,1,12.115012879765223,1
56,MIN,1610612750,2010-11-10,98,89,0.471,0.364,0.6,41,15,2,0.125,0.0,1417.1984423773017,-6,12.620357935806693,1
57,SAC,1610612758,2010-11-10,89,98,0.444,0.25,0.625,41,19,8,0.5,0.3333333333333333,1487.228911181667,-2,15.33039105484363,0
58,HOU,1610612745,2010-11-10,91,98,0.391,0.3,0.895,44,15,7,0.16666666666666666,0.0,1483.1491433658168,1,14.738690055622286,0
59,WAS,1610612764,2010-11-10,98,91,0.443,0.462,0.636,51,17,10,0.2,0.5,1455.4897980867577,-2,13.739754148724764,1
60,TOR,1610612761,2010-11-10,96,101,0.457,0.3,0.76,38,17,5,0.14285714285714285,0.3333333333333333,1465.8082182997684,-5,15.080559807824393,0
61,CHA,1610612766,2010-11-10,101,96,0.493,0.429,0.818,36,17,13,0.14285714285714285,0.25,1457.6281224163315,-3,13.013205596353975,1
62,DAL,1610612742,2010-11-10,106,91,0.541,0.36,0.455,49,10,5,0.6666666666666666,1.0,1519.686169595084,1,14.97403156334773,1
63,MEM,1610612763,2010-11-10,91,106,0.452,0.286,0.579,40,12,3,0.5,0.6666666666666666,1500.6463151406,2,18.26271445351828,0
64,PHI,1610612755,2010-11-10,103,109,0.481,0.333,0.741,37,17,1,0.2857142857142857,0.3333333333333333,1493.7372355384966,1,15.664040199408735,0
65,OKC,1610612760,2010-11-10,109,103,0.493,0.143,0.946,34,15,7,0.5,0.3333333333333333,1476.147925167032,-1,13.477511342711521,1
66,GSW,1610612744,2010-11-11,90,120,0.411,0.304,0.714,39,19,4,0.75,0.5,1522.4050062897713,2,16.09278981884194,0
67,CHI,1610612741,2010-11-11,120,90,0.548,0.368,0.913,46,14,10,0.5,0.75,1501.7953233728208,1,16.26473255135697,1
68,MIA,1610612748,2010-11-11,107,112,0.5,0.188,0.78,37,14,4,0.625,0.75,1555.6219758836394,-1,19.072990318609,0
