,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,WINNER
0,UTA,1610612762,2019-11-01,101,102,0.479,0.393,0.741,36,17,5,0.8,0.5,1534.6225038051298,1433.7706449397228,3,14.425124323273248,0
1,SAC,1610612758,2019-11-01,102,101,0.488,0.276,0.706,38,17,3,0.0,0.0,1433.7706449397228,1534.6225038051298,-5,10.390156089966059,1
2,LAC,1610612746,2019-11-03,105,94,0.391,0.219,0.765,54,9,6,0.6666666666666666,1.0,1522.2945980566333,1528.9843082968282,1,20.037268480059787,1
3,UTA,1610612762,2019-11-03,94,105,0.397,0.323,0.71,37,15,6,0.6666666666666666,0.3333333333333333,1528.9843082968282,1522.2945980566333,-1,15.349060723410386,0
4,IND,1610612754,2019-11-08,112,106,0.518,0.267,0.88,44,13,8,0.5,0.75,1513.6458657399783,1481.4225326683154,1,14.38695391793808,1
5,DET,1610612765,2019-11-08,106,112,0.453,0.394,0.833,40,17,4,0.4444444444444444,0.25,1481.4225326683154,1513.6458657399783,1,15.190283517116887,0
6,TOR,1610612761,2019-11-08,122,104,0.441,0.442,0.875,53,17,3,0.7142857142857143,0.3333333333333333,1532.8567454932988,1461.6004810925708,1,16.09782341151255,1
7,NOP,1610612740,2019-11-08,104,122,0.404,0.244,0.667,53,18,6,0.14285714285714285,0.3333333333333333,1461.6004810925708,1532.8567454932988,-2,21.33021909706999,0
8,OKC,1610612760,2019-11-09,114,108,0.544,0.467,0.824,42,19,5,0.375,0.6,1499.4919906127002,1438.760137803748,-1,17.88517174863991,1
9,GSW,1610612744,2019-11-09,108,114,0.494,0.318,1.0,34,15,6,0.2222222222222222,0.25,1438.760137803748,1499.4919906127002,-2,16.76555779574728,0
10,NOP,1610612740,2019-11-11,116,122,0.432,0.311,0.741,46,17,3,0.2222222222222222,0.25,1457.5849009597252,1517.832081480221,1,14.490774906851957,0
11,HOU,1610612745,2019-11-11,122,116,0.518,0.293,0.688,47,19,6,0.6666666666666666,0.6,1517.832081480221,1457.5849009597252,3,19.520847330759132,1
12,NYK,1610612752,2019-11-12,102,120,0.409,0.313,0.645,38,18,1,0.2,0.16666666666666666,1422.0399404758934,1462.821654304932,-1,11.315742527148778,0
13,CHI,1610612741,2019-11-12,120,102,0.506,0.424,0.774,46,20,2,0.3,0.25,1462.821654304932,1422.0399404758934,-1,15.749192315585681,1
14,SAC,1610612758,2019-11-12,107,99,0.442,0.344,0.769,46,14,5,0.3333333333333333,0.25,1465.9717763440851,1488.7439126348195,1,15.670869565915055,1
15,POR,1610612757,2019-11-12,99,107,0.442,0.267,0.767,40,17,5,0.4,0.5,1488.7439126348195,1465.9717763440851,1,15.98548969714228,0
16,DAL,1610612742,2019-11-14,103,106,0.429,0.222,0.742,44,12,7,0.6,0.8,1519.1521650153534,1409.0139950102846,-1,16.790786342048868,0
17,NYK,1610612752,2019-11-14,106,103,0.447,0.433,0.818,53,15,2,0.18181818181818182,0.25,1409.0139950102846,1519.1521650153534,-2,11.265567538523767,1
18,MIN,1610612750,2019-11-15,116,137,0.472,0.297,0.724,43,20,5,0.6363636363636364,0.6,1513.592286346104,1460.4220255259465,2,16.379359184141297,0
19,WAS,1610612764,2019-11-15,137,116,0.54,0.357,0.76,51,14,5,0.2222222222222222,0.2,1460.4220255259465,1513.592286346104,-3,19.238857575812553,1
20,POR,1610612757,2019-11-16,121,116,0.452,0.333,0.923,48,12,4,0.3333333333333333,0.42857142857142855,1471.8537949646243,1476.1011729505083,-2,15.748818641541746,1
21,SAS,1610612759,2019-11-16,116,121,0.466,0.278,0.853,43,10,7,0.4166666666666667,0.5714285714285714,1476.1011729505083,1471.8537949646243,-4,18.21004503719903,0
22,CLE,1610612739,2019-11-17,95,114,0.378,0.24,0.875,42,15,5,0.36363636363636365,0.4,1479.3488013408196,1511.5342176781598,-2,16.5976128118827,0
23,PHI,1610612755,2019-11-17,114,95,0.548,0.391,0.765,44,14,11,0.5833333333333334,0.375,1511.5342176781598,1479.3488013408196,-2,20.19999270057697,1
24,NOP,1610612740,2019-11-17,108,100,0.416,0.391,0.8,48,15,5,0.25,0.3333333333333333,1451.5055212521197,1409.70457376495,-1,12.713976753469133,1
25,GSW,1610612744,2019-11-17,100,108,0.407,0.28,0.826,43,12,3,0.15384615384615385,0.16666666666666666,1409.70457376495,1451.5055212521197,-6,15.300955919886135,0
26,MIL,1610612749,2019-11-18,115,101,0.463,0.366,0.686,48,15,9,0.75,0.75,1582.9894048539652,1461.3470856885492,3,20.563477908854072,1
