,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,WINNER
0,POR,1610612757,2008-11-10,106,99,0.438,0.529,0.844,34,6,1,0.5,0.0,1474.0242478873877,1596.3661740994874,2,16.500163311982877,1
1,ORL,1610612753,2008-11-10,99,106,0.451,0.292,0.737,44,14,1,0.6666666666666666,0.8,1596.3661740994874,1474.0242478873877,4,16.845403146159867,0
2,NJN,1610612751,2008-11-10,94,99,0.465,0.52,0.75,39,19,6,0.4,0.5,1426.7963230165885,1400.7477618539135,-1,11.734195882956131,0
3,MIA,1610612748,2008-11-10,99,94,0.443,0.44,0.813,31,13,3,0.5,1.0,1400.7477618539135,1426.7963230165885,-1,17.97963014977169,1
4,TOR,1610612761,2008-11-10,87,94,0.429,0.421,0.722,39,16,2,0.6666666666666666,0.75,1499.603370126523,1671.073253434744,1,14.716335102525663,0
5,BOS,1610612738,2008-11-10,94,87,0.438,0.3,0.889,39,11,2,0.8571428571428571,1.0,1671.073253434744,1499.603370126523,4,14.954283686607564,1
6,MEM,1610612763,2008-11-10,102,107,0.442,0.267,0.88,39,16,4,0.42857142857142855,0.2,1391.8216820938596,1600.341433731124,-1,11.7610691269604,0
7,PHX,1610612756,2008-11-10,107,102,0.487,0.381,0.893,38,19,5,0.7142857142857143,0.5,1600.341433731124,1391.8216820938596,1,16.27702917909574,1
8,CLE,1610612739,2008-11-11,99,93,0.486,0.15,0.813,36,10,6,0.7142857142857143,1.0,1550.8914568415248,1367.0337468296684,4,15.02944045608476,1
9,MIL,1610612749,2008-11-11,93,99,0.38,0.438,0.839,45,17,2,0.42857142857142855,0.5,1367.0337468296684,1550.8914568415248,-2,11.473032181287333,0
10,PHI,1610612755,2008-11-11,80,93,0.382,0.222,0.833,42,17,12,0.3333333333333333,0.6666666666666666,1484.9845740798032,1627.022785786475,-2,13.245937078066653,0
11,UTA,1610612762,2008-11-11,93,80,0.437,0.235,0.722,47,15,7,0.8333333333333334,0.5,1627.022785786475,1484.9845740798032,-1,16.357908669727212,1
12,ATL,1610612737,2008-11-11,113,108,0.47,0.412,0.778,44,10,8,1.0,1.0,1522.6477318684535,1468.0065896281847,5,15.33053284550131,1
13,CHI,1610612741,2008-11-11,108,113,0.447,0.333,0.72,52,12,6,0.42857142857142855,0.75,1468.0065896281847,1522.6477318684535,-1,13.033942765766435,0
14,NYK,1610612752,2008-11-11,80,92,0.38,0.429,0.647,40,15,2,0.6666666666666666,0.5,1391.261349343358,1555.1647446569923,3,16.318455129392852,0
