,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PER_A,WINNER
0,LAL,1610612747,2013-11-07,99,98,0.391,0.457,0.733,47,24,6,0.4,0.0,1472.4431989585635,-1,13.204136012999586,1
1,HOU,1610612745,2013-11-07,98,99,0.377,0.259,0.635,44,18,7,0.8,1.0,1527.3472759331432,1,15.868426703707721,0
2,LAC,1610612746,2013-11-07,97,102,0.493,0.333,0.81,38,19,1,0.6,0.3333333333333333,1517.7476910579528,-1,20.95704689700316,0
3,MIA,1610612748,2013-11-07,102,97,0.535,0.313,0.636,30,16,3,0.6,1.0,1520.0818120716447,2,18.393922832990405,1
4,PHI,1610612755,2013-11-08,94,79,0.476,0.333,0.778,47,17,8,0.6,0.5,1488.9390548853776,-2,16.46406957432556,1
5,CLE,1610612739,2013-11-08,79,94,0.333,0.346,0.714,43,14,4,0.4,0.0,1483.2687667430832,-1,11.937305483723312,0
6,GSW,1610612744,2013-11-08,74,76,0.408,0.4,0.8,45,20,4,0.8,0.6666666666666666,1549.3442214548986,3,17.94705641538966,0
7,SAS,1610612759,2013-11-08,76,74,0.392,0.263,0.5,42,14,3,0.8,1.0,1518.6374207776075,2,16.172372238472658,1
8,ORL,1610612753,2013-11-08,89,91,0.398,0.2,0.655,56,20,4,0.6,1.0,1526.1194147816423,3,14.468131543695462,0
9,BOS,1610612738,2013-11-08,91,89,0.358,0.143,0.808,50,11,5,0.2,0.0,1476.5492465505715,1,12.38406731151453,1
10,TOR,1610612761,2013-11-08,84,91,0.395,0.333,0.875,42,16,6,0.4,0.3333333333333333,1492.552887002354,-2,13.683332220065692,0
11,IND,1610612754,2013-11-08,91,84,0.462,0.286,0.813,38,16,6,1.0,1.0,1550.299858320309,5,17.09750585689565,1
12,MIN,1610612750,2013-11-08,116,108,0.461,0.4,0.867,44,15,6,0.6,0.6666666666666666,1515.0706475657705,-2,15.827695364061746,1
13,DAL,1610612742,2013-11-08,108,116,0.489,0.455,0.667,40,18,7,0.6,0.0,1512.412526149935,-1,20.179763695166127,0
14,LAL,1610612747,2013-11-08,85,96,0.388,0.316,0.654,48,14,4,0.5,0.3333333333333333,1477.33336722275,1,16.550672429708797,0
15,NOP,1610612740,2013-11-08,96,85,0.437,0.333,0.773,50,9,8,0.4,0.3333333333333333,1500.8885291323459,1,14.40805440211276,1
16,IND,1610612754,2013-11-09,96,91,0.463,0.5,0.75,42,13,3,1.0,1.0,1557.0167745816918,6,17.194381812090985,1
17,BKN,1610612751,2013-11-09,91,96,0.461,0.421,0.813,38,15,2,0.4,1.0,1488.4987174172577,-1,16.522922004459126,0
18,HOU,1610612745,2013-11-09,94,107,0.449,0.269,0.63,42,18,5,0.6666666666666666,0.6666666666666666,1522.4571076689567,-1,15.289066947405091,0
19,LAC,1610612746,2013-11-09,107,94,0.477,0.375,0.609,45,14,7,0.5,0.25,1510.7706211591567,-2,17.972451180386457,1
20,MIA,1610612748,2013-11-09,110,111,0.577,0.5,0.676,31,10,7,0.6666666666666666,1.0,1527.0588819704408,3,18.464080830330754,0
21,BOS,1610612738,2013-11-09,111,110,0.517,0.476,0.75,39,14,5,0.3333333333333333,0.25,1482.2936555342835,2,11.850140427476042,1
22,SAC,1610612758,2013-11-09,85,96,0.462,0.25,0.714,33,10,2,0.2,0.3333333333333333,1466.4595996608114,-4,10.765899720388504,0
23,POR,1610612757,2013-11-09,96,85,0.439,0.45,0.682,52,13,2,0.6,0.5,1510.4154640396566,1,15.631422516909508,1
24,TOR,1610612761,2013-11-09,115,91,0.482,0.4,0.862,40,12,4,0.3333333333333333,0.5,1485.8359707409713,-3,13.712850082754361,1
25,UTA,1610612762,2013-11-09,91,115,0.442,0.167,0.833,37,16,5,0.0,0.0,1437.861157470407,-6,12.986704426187174,0
26,GSW,1610612744,2013-11-09,90,108,0.423,0.333,0.538,33,18,3,0.6666666666666666,0.5,1543.9540061274538,-1,20.669861201309864,0
27,MEM,1610612763,2013-11-09,108,90,0.532,0.385,0.76,44,17,5,0.4,0.6666666666666666,1480.316984380685,-1,11.630768181512634,1
28,MIN,1610612750,2013-11-10,113,90,0.489,0.5,0.789,53,21,5,0.6666666666666666,0.5,1524.0613780167935,1,18.61706654016359,1
29,LAL,1610612747,2013-11-10,90,113,0.38,0.385,0.556,46,18,8,0.42857142857142855,0.6666666666666666,1467.2572753158345,-1,12.024061093556258,0
30,SAS,1610612759,2013-11-10,120,89,0.539,0.429,0.867,51,13,4,0.8333333333333334,0.6666666666666666,1524.0276361050524,3,14.400850120315221,1
31,NYK,1610612752,2013-11-10,89,120,0.378,0.273,0.724,33,10,1,0.4,0.3333333333333333,1497.9837594289545,1,14.623562356836958,0
32,NOP,1610612740,2013-11-10,94,101,0.443,0.308,0.923,43,17,3,0.5,0.5,1510.9646210392614,2,17.504035952014885,0
33,PHX,1610612756,2013-11-10,101,94,0.487,0.318,0.783,40,15,11,0.6666666666666666,1.0,1519.6664098478755,1,15.806855050879674,1
