,SEASON_ID,GAME_DATE,TEAM_SELECTED,OPPONENT,PTS_A,PTS_CON_A,FT_PCT_A,FG_PCT_A,FG3_PCT_A,ELO_A,PER_A,HA_PTS_A,HA_PTS_CON_A,SEASON_PTS_A,PTS_B,PTS_CON_B,FT_PCT_B,FG_PCT_B,FG3_PCT_B,ELO_B,PER_B,HA_PTS_B,HA_PTS_CON_B,SEASON_PTS_B,SCORE_A,SCORE_B
0,22018,2018-11-16,BOS,TOR,107.9,103.3,0.7874000000000001,0.43599999999999994,0.37320000000000003,1531.0620133956963,17.652181661861267,106.2,96.0,105.57142857142857,116.2,110.8,0.8085000000000001,0.48339999999999994,0.32530000000000003,1512.2958013011014,20.359015803885438,115.33333333333333,109.66666666666667,116.46666666666667,123,116
1,22018,2018-11-17,BOS,UTA,110.1,105.4,0.798,0.4504,0.3734,1538.9030985380004,18.34844704193309,109.0,99.33333333333333,106.73333333333333,104.8,110.5,0.6809,0.45330000000000004,0.3041,1510.0651821199565,18.292271458992207,105.77777777777777,107.88888888888889,107.33333333333333,86,98
2,22018,2018-11-21,BOS,NYK,108.2,107.5,0.7791,0.45020000000000004,0.34650000000000003,1518.2818809686758,18.409979937361815,105.71428571428571,99.14285714285714,105.82352941176471,109.9,118.6,0.7724,0.4505,0.2888,1495.2201700120752,13.853913458644136,108.6,117.8,108.16666666666667,109,117
3,22018,2018-12-06,BOS,NYK,112.9,105.0,0.8126999999999999,0.4716,0.36260000000000003,1555.8729452103573,17.869605413644415,108.55555555555556,100.66666666666667,108.52173913043478,113.1,117.0,0.7935000000000001,0.44609999999999994,0.3814,1505.0832212630598,16.002452663323204,108.2,117.0,108.92,128,100
4,22018,2018-12-08,BOS,CHI,114.6,106.8,0.812,0.4782,0.3527,1572.958137259344,16.703922369110227,110.5,109.1,109.33333333333333,101.6,111.2,0.8099999999999999,0.4391,0.3238,1479.4873380147974,13.064274957155222,102.1,107.3,103.26923076923077,133,77
5,22018,2018-12-10,BOS,NOP,115.6,102.9,0.8019999999999999,0.47920000000000007,0.3693,1596.8325704938775,17.45928867949391,110.5,100.6,110.28,115.2,113.1,0.8016,0.481,0.3453,1486.024497466287,21.404646729400994,111.6,113.0,118.0,113,100
6,22018,2018-12-14,BOS,ATL,120.1,103.9,0.8431999999999998,0.48419999999999996,0.38570000000000004,1609.2105579571894,20.44818673535877,111.3,101.9,111.11111111111111,108.7,117.7,0.7396999999999998,0.45099999999999996,0.3,1485.2379064562044,15.012221230194253,103.2,116.0,107.85185185185185,129,108
7,22018,2018-12-15,BOS,DET,122.1,103.0,0.8613,0.4934,0.4041,1619.3495258370733,21.136729006137816,116.0,107.6,111.75,105.4,108.7,0.6768,0.4328,0.3203,1479.4235738606158,13.726061189260097,108.5,107.4,109.0,104,113
8,22018,2018-12-19,BOS,PHX,121.1,104.7,0.8542,0.48869999999999997,0.39890000000000003,1604.198533801934,21.50231808400248,115.2,103.4,111.48275862068965,100.9,109.6,0.8019999999999999,0.4363,0.31900000000000006,1492.2292904750218,14.523273649989036,104.9,115.7,103.09677419354838,103,111
9,22018,2018-12-21,BOS,MIL,121.0,104.5,0.8476000000000001,0.4857,0.40170000000000006,1591.118844744704,21.04984301307052,114.7,104.0,111.2,111.3,107.1,0.7640999999999999,0.4539000000000001,0.3397,1494.3606280442873,18.253374434934557,114.7,113.5,117.76666666666667,107,120
10,22018,2018-12-23,BOS,CHA,119.3,105.8,0.8326,0.4747,0.3824,1574.2321787927046,21.24228293221546,113.7,104.7,111.06451612903226,109.6,111.9,0.7709999999999999,0.4457,0.3566,1507.7238359811145,17.245353293610783,110.3,115.4,113.16129032258064,119,103
11,22018,2018-12-25,BOS,PHI,118.4,106.6,0.8313,0.47140000000000004,0.36090000000000005,1585.0560734250355,22.05507695607084,114.5,106.8,111.3125,114.4,109.9,0.7739999999999999,0.48740000000000006,0.35800000000000004,1484.7694995991114,20.408377934108664,112.8,112.7,114.55882352941177,121,114
12,22018,2019-01-02,BOS,MIN,114.9,114.4,0.8290999999999998,0.45579999999999987,0.3557,1567.7616387150472,17.38726181347622,114.3,106.6,111.63888888888889,116.2,116.2,0.7742999999999999,0.45829999999999993,0.3399,1491.9057600539263,17.28790628436305,110.2,112.9,111.48648648648648,115,102
13,22018,2019-01-04,BOS,DAL,113.4,112.1,0.8158000000000001,0.46979999999999994,0.36679999999999996,1576.8306246708678,17.31193392865976,117.2,107.0,111.72972972972973,114.9,115.4,0.7622,0.45169999999999993,0.367,1510.578484424543,18.862512227999346,110.7,115.7,110.91891891891892,114,93
14,22018,2019-01-09,BOS,IND,113.1,108.8,0.817,0.4742,0.375,1601.701553053572,19.408211072387317,116.5,104.6,111.8974358974359,112.3,105.5,0.7369,0.5038,0.3498,1504.589225969076,19.3392930381402,111.7,108.4,108.125,135,108
15,22018,2019-01-12,BOS,ORL,115.5,108.0,0.8320000000000001,0.48819999999999997,0.3862,1594.9283985476325,19.896504666196993,114.8,110.9,112.14634146341463,103.5,108.3,0.7476999999999999,0.4422,0.3461,1505.750219919241,16.760814002844572,101.8,106.9,102.95121951219512,103,105
16,22018,2019-01-14,BOS,BKN,113.9,108.2,0.8199,0.48040000000000005,0.3779,1588.4184112748112,17.970061111586613,114.7,110.1,111.92857142857143,111.5,112.3,0.7697,0.4585,0.3559,1488.1912286334384,14.604017691199553,119.5,114.4,110.72727272727273,102,109
17,22018,2019-01-16,BOS,TOR,112.0,107.7,0.8088000000000001,0.47939999999999994,0.37440000000000007,1576.7046834187513,19.889230978780173,117.2,105.4,111.69767441860465,112.7,111.5,0.7943999999999999,0.4551,0.3564000000000001,1504.4547161587973,18.334968987947878,110.8,114.0,113.95555555555555,117,108
18,22018,2019-01-18,BOS,MEM,112.4,105.8,0.8128,0.48250000000000004,0.3824,1584.0201881871492,20.88301863069034,117.6,106.2,111.81818181818181,98.0,107.8,0.7375999999999999,0.4466,0.2995,1492.715379782402,13.27497696455025,97.6,107.4,100.88636363636364,122,116
