,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,ODDS_A,ODDS_OPP,WINNER
0,UTA,1610612762,2019-11-01,101,102,0.479,0.393,0.741,36,17,5,0.8,0.5,1534.6225038051298,1433.7706449397228,3,15.778336205275126,1.52,2.62,0
1,SAC,1610612758,2019-11-01,102,101,0.488,0.276,0.706,38,17,3,0.0,0.0,1433.7706449397228,1534.6225038051298,-5,9.673439701422447,2.62,1.52,1
2,LAC,1610612746,2019-11-03,105,94,0.391,0.219,0.765,54,9,6,0.6666666666666666,1.0,1522.2945980566333,1528.9843082968282,1,20.291661688889985,1.52,2.62,1
3,UTA,1610612762,2019-11-03,94,105,0.397,0.323,0.71,37,15,6,0.6666666666666666,0.3333333333333333,1528.9843082968282,1522.2945980566333,-1,16.60820706224598,2.62,1.52,0
4,IND,1610612754,2019-11-08,112,106,0.518,0.267,0.88,44,13,8,0.5,0.75,1513.6458657399783,1481.4225326683154,1,15.364488288998022,1.4,3.09,1
5,DET,1610612765,2019-11-08,106,112,0.453,0.394,0.833,40,17,4,0.4444444444444444,0.25,1481.4225326683154,1513.6458657399783,1,16.145060500171322,3.09,1.4,0
6,TOR,1610612761,2019-11-08,122,104,0.441,0.442,0.875,53,17,3,0.7142857142857143,0.3333333333333333,1532.8567454932988,1461.6004810925708,1,16.09782341151255,1.75,2.15,1
7,NOP,1610612740,2019-11-08,104,122,0.404,0.244,0.667,53,18,6,0.14285714285714285,0.3333333333333333,1461.6004810925708,1532.8567454932988,-2,18.180144950175055,2.15,1.75,0
8,OKC,1610612760,2019-11-09,114,108,0.544,0.467,0.824,42,19,5,0.375,0.6,1499.4919906127002,1438.760137803748,-1,18.313078311511028,1.13,6.61,1
9,GSW,1610612744,2019-11-09,108,114,0.494,0.318,1.0,34,15,6,0.2222222222222222,0.25,1438.760137803748,1499.4919906127002,-2,16.640140234984333,6.61,1.13,0
10,NOP,1610612740,2019-11-11,116,122,0.432,0.311,0.741,46,17,3,0.2222222222222222,0.25,1457.5849009597252,1517.832081480221,1,14.619979531079492,3.59,1.32,0
11,HOU,1610612745,2019-11-11,122,116,0.518,0.293,0.688,47,19,6,0.6666666666666666,0.6,1517.832081480221,1457.5849009597252,3,19.520847330759132,1.32,3.59,1
12,CHI,1610612741,2019-11-12,120,102,0.506,0.424,0.774,46,20,2,0.3,0.25,1462.821654304932,1422.0399404758934,-1,15.662426308617347,1.38,3.21,1
13,NYK,1610612752,2019-11-12,102,120,0.409,0.313,0.645,38,18,1,0.2,0.16666666666666666,1422.0399404758934,1462.821654304932,-1,11.785385323067459,3.21,1.38,0
14,SAC,1610612758,2019-11-12,107,99,0.442,0.344,0.769,46,14,5,0.3333333333333333,0.25,1465.9717763440851,1488.7439126348195,1,15.213053652669904,2.05,1.82,1
15,POR,1610612757,2019-11-12,99,107,0.442,0.267,0.767,40,17,5,0.4,0.5,1488.7439126348195,1465.9717763440851,1,15.98548969714228,1.82,2.05,0
16,NYK,1610612752,2019-11-14,106,103,0.447,0.433,0.818,53,15,2,0.18181818181818182,0.25,1409.0139950102846,1519.1521650153534,-2,7.1822634842353015,3.64,1.31,1
17,DAL,1610612742,2019-11-14,103,106,0.429,0.222,0.742,44,12,7,0.6,0.8,1519.1521650153534,1409.0139950102846,-1,17.65722440947418,1.31,3.64,0
18,WAS,1610612764,2019-11-15,137,116,0.54,0.357,0.76,51,14,5,0.2222222222222222,0.2,1460.4220255259465,1513.592286346104,-3,18.78409299122848,2.95,1.43,1
19,MIN,1610612750,2019-11-15,116,137,0.472,0.297,0.724,43,20,5,0.6363636363636364,0.6,1513.592286346104,1460.4220255259465,2,18.61746464271124,1.43,2.95,0
20,SAS,1610612759,2019-11-16,116,121,0.466,0.278,0.853,43,10,7,0.4166666666666667,0.5714285714285714,1476.1011729505083,1471.8537949646243,-4,18.21004503719903,1.83,2.04,0
21,POR,1610612757,2019-11-16,121,116,0.452,0.333,0.923,48,12,4,0.3333333333333333,0.42857142857142855,1471.8537949646243,1476.1011729505083,-2,15.748818641541746,2.04,1.83,1
22,CLE,1610612739,2019-11-17,95,114,0.378,0.24,0.875,42,15,5,0.36363636363636365,0.4,1479.3488013408196,1511.5342176781598,-2,15.581358520594389,3.35,1.35,0
23,PHI,1610612755,2019-11-17,114,95,0.548,0.391,0.765,44,14,11,0.5833333333333334,0.375,1511.5342176781598,1479.3488013408196,-2,20.19999270057697,1.35,3.35,1
24,NOP,1610612740,2019-11-17,108,100,0.416,0.391,0.8,48,15,5,0.25,0.3333333333333333,1451.5055212521197,1409.70457376495,-1,13.58375121669262,1.6,2.42,1
25,GSW,1610612744,2019-11-17,100,108,0.407,0.28,0.826,43,12,3,0.15384615384615385,0.16666666666666666,1409.70457376495,1451.5055212521197,-6,15.821133671166592,2.42,1.6,0
26,CHI,1610612741,2019-11-18,101,115,0.402,0.353,0.786,50,15,6,0.3076923076923077,0.3333333333333333,1461.3470856885492,1582.9894048539652,-2,14.93661748919926,3.89,1.27,0
27,MIL,1610612749,2019-11-18,115,101,0.463,0.366,0.686,48,15,9,0.75,0.75,1582.9894048539652,1461.3470856885492,3,21.94336995536184,1.27,3.89,1
28,NYK,1610612752,2019-11-18,123,105,0.449,0.348,0.771,47,7,10,0.23076923076923078,0.3333333333333333,1413.5065144537962,1465.3611926769534,-1,13.18056480254222,1.45,2.85,1
29,CLE,1610612739,2019-11-18,105,123,0.474,0.472,0.533,41,20,1,0.3333333333333333,0.3333333333333333,1465.3611926769534,1413.5065144537962,-3,12.175408716274273,2.85,1.45,0
30,IND,1610612754,2019-11-18,115,86,0.436,0.424,0.765,63,10,8,0.5384615384615384,0.3333333333333333,1521.704254421014,1480.8093154635537,-2,15.754629036461045,2.15,1.74,1
31,BKN,1610612751,2019-11-18,86,115,0.357,0.324,0.625,40,10,7,0.4166666666666667,0.6,1480.8093154635537,1521.704254421014,1,15.800033173067208,1.74,2.15,0
32,PHX,1610612756,2019-11-19,116,120,0.427,0.333,0.824,39,12,4,0.5833333333333334,0.6666666666666666,1539.3448025607627,1478.3909957409217,-1,16.40457996954114,2.24,1.69,0
33,SAC,1610612758,2019-11-19,120,116,0.532,0.419,0.92,43,19,7,0.4166666666666667,0.5,1478.3909957409217,1539.3448025607627,1,16.595445924222147,1.69,2.24,1
34,CHI,1610612741,2019-11-20,109,89,0.429,0.519,0.654,55,15,7,0.2857142857142857,0.2857142857142857,1453.5698940886582,1454.123481880031,-3,15.63921980968062,1.93,1.92,1
