,SEASON_ID,TEAM_A,TEAM_B,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,MATCHUP_A,PER_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,MATCHUP_B,PER_B,WINNER
0,22016,UTA,SAS,95.6,92.4,0.4506,0.38099999999999995,0.7757999999999999,40.2,13.8,5.0,0.6,1.0,1516.8731289078783,2,1.0,15.705287934480577,105.2,95.6,0.4486,0.42119999999999996,0.8615999999999999,44.6,11.8,5.6,0.8,1.0,1533.922270677079,-1,0.0,20.609156250248777,B
1,22016,CHI,IND,109.0,102.4,0.4584,0.39479999999999993,0.8277999999999999,50.2,15.2,5.4,0.6,0.5,1517.0181592398574,-2,1.0,20.209530387592498,109.4,115.0,0.4624,0.39980000000000004,0.7750000000000001,41.8,16.0,6.2,0.4,1.0,1478.01346700909,-1,0.0,19.383546496206254,B
2,22016,GSW,NOP,112.33333333333333,110.0,0.4848333333333333,0.30283333333333334,0.7836666666666666,43.0,16.333333333333332,5.666666666666667,0.6666666666666666,0.5,1516.0086961258305,-1,1.0,20.51440264543284,100.33333333333333,107.5,0.42016666666666663,0.26166666666666666,0.7226666666666667,42.5,13.333333333333334,7.0,0.0,0.0,1452.9191064537995,-6,0.0,11.928319724492216,A
3,22016,POR,PHX,108.28571428571429,109.28571428571429,0.45500000000000007,0.3932857142857143,0.822,41.57142857142857,15.0,5.0,0.5714285714285714,0.3333333333333333,1497.5694159992204,2,0.0,15.976945991950076,105.71428571428571,113.28571428571429,0.4342857142857143,0.29371428571428565,0.7515714285714287,48.142857142857146,16.0,3.0,0.2857142857142857,0.25,1459.570927703869,-1,1.0,11.423652271089251,A
4,22016,LAC,POR,104.28571428571429,89.42857142857143,0.44842857142857145,0.3425714285714286,0.7485714285714286,45.142857142857146,12.714285714285714,5.142857142857143,0.8571428571428571,0.75,1578.1558335115842,3,1.0,17.050437005503987,110.25,110.75,0.46762500000000007,0.400625,0.8085,40.75,15.625,4.875,0.625,0.75,1502.4040549957006,3,0.0,14.371470298929092,A
5,22016,NOP,MIL,100.25,107.875,0.432625,0.267625,0.7295,42.25,13.875,6.5,0.0,0.0,1436.5977674614694,-8,0.0,16.746192312547194,103.28571428571429,101.42857142857143,0.45771428571428574,0.31071428571428567,0.8079999999999999,46.285714285714285,16.428571428571427,5.285714285714286,0.5714285714285714,0.75,1507.1191600161349,-1,1.0,16.059026472810924,A
6,22016,PHI,IND,94.71428571428571,107.42857142857143,0.4307142857142857,0.3465714285714286,0.687,41.57142857142857,17.285714285714285,6.0,0.0,0.0,1429.177033375608,-7,0.0,13.395132823061857,110.0,113.25,0.477125,0.401,0.742625,42.5,15.75,6.25,0.5,0.0,1486.5119426699803,1,1.0,17.541749879243444,A
7,22016,LAC,OKC,105.125,88.25,0.447,0.34275,0.7458750000000001,46.375,12.0,5.375,0.875,1.0,1594.7378770441362,4,0.0,19.96127235782175,102.625,99.625,0.43625,0.32362499999999994,0.7268749999999999,46.875,17.625,5.125,0.75,0.8,1526.5937256795548,-1,1.0,16.003910156472436,A
8,22016,ATL,PHI,108.625,99.25,0.47762499999999997,0.35650000000000004,0.6981250000000001,46.0,18.0,5.125,0.75,0.8,1554.670233685564,3,1.0,17.21599185647358,96.5,107.125,0.42925,0.34625,0.706,43.125,17.625,6.0,0.125,0.0,1436.8894497097874,1,0.0,11.788693934960786,A
9,22016,DEN,DET,105.125,108.0,0.434,0.35150000000000003,0.7709999999999999,48.375,18.375,4.375,0.375,0.0,1483.367182175632,-2,0.0,12.954272910532216,96.77777777777777,97.22222222222223,0.4298888888888889,0.3407777777777778,0.7618888888888891,45.111111111111114,12.88888888888889,4.333333333333333,0.4444444444444444,0.0,1491.0437986442093,-3,1.0,15.204355350172477,B
10,22016,GSW,PHX,114.55555555555556,106.88888888888889,0.5034444444444444,0.3617777777777778,0.7862222222222223,42.111111111111114,15.88888888888889,5.444444444444445,0.7777777777777778,0.75,1554.5912104738281,3,1.0,22.11475126994564,107.2,113.9,0.4366,0.2995,0.7638000000000001,48.2,15.8,3.2,0.3,0.2,1450.5368311507527,-1,0.0,12.98720335175956,A
11,22016,DEN,POR,104.0,107.77777777777777,0.4334444444444444,0.35244444444444445,0.7672222222222221,47.666666666666664,18.11111111111111,4.333333333333333,0.3333333333333333,0.5,1472.664800864319,-3,0.0,12.910811234433814,108.4,111.7,0.46160000000000007,0.3799,0.8029,40.9,15.2,4.6,0.6,0.6,1490.3749756314255,1,1.0,13.606530386053969,B
12,22016,MIA,SAS,95.5,98.5,0.42287499999999995,0.34475,0.6768749999999999,44.25,13.5,5.875,0.25,0.3333333333333333,1474.490911040579,-4,0.0,11.530880707344927,101.9,96.7,0.44699999999999995,0.3838,0.8545,43.1,11.5,5.9,0.7,0.4,1538.4287378343602,2,1.0,17.45759899715947,B
13,22016,TOR,CLE,105.33333333333333,99.22222222222223,0.4614444444444444,0.2837777777777778,0.8200000000000001,43.666666666666664,11.333333333333334,4.555555555555555,0.7777777777777778,1.0,1548.4972219287315,3,0.0,18.228970099978756,109.44444444444444,102.0,0.43733333333333335,0.3752222222222222,0.7536666666666667,45.22222222222222,11.88888888888889,4.666666666666667,0.8888888888888888,0.8333333333333334,1561.2332428222423,2,1.0,18.05064969643612,B
