,SEASON_ID,GAME_DATE,TEAM_A,TEAM_B,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,MATCHUP_A,PER_A,ODDS_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,MATCHUP_B,PER_B,ODDS_B,WINNER
0,22017,2017-10-28,MEM,HOU,100.4,95.2,0.43739999999999996,0.33540000000000003,0.7615999999999999,41.0,14.8,4.4,0.8,1.0,1523.9308947879597,1,1.0,14.534613542046428,1.38,106.33333333333333,101.16666666666667,0.4503333333333333,0.2996666666666667,0.8155000000000001,45.166666666666664,16.0,5.5,0.8333333333333334,1.0,1531.6738366478203,2,0.0,14.754203011062158,2.98,1
1,22017,2017-10-30,HOU,PHI,103.85714285714286,101.42857142857143,0.43985714285714284,0.30942857142857144,0.8147142857142858,44.857142857142854,16.428571428571427,5.142857142857143,0.7142857142857143,0.5,1518.4436110223742,-1,1.0,17.846239340454172,1.34,102.33333333333333,108.5,0.43933333333333335,0.3733333333333333,0.6936666666666667,45.0,17.5,3.6666666666666665,0.3333333333333333,0.5,1475.3854496910385,1,0.0,16.126927309656647,3.43,0
2,22017,2017-11-01,CHA,MIL,102.85714285714286,101.42857142857143,0.4365714285714285,0.3454285714285715,0.6884285714285714,51.57142857142857,14.857142857142858,5.142857142857143,0.5714285714285714,0.75,1513.8736944536788,2,0.0,12.786622442892291,1.59,102.57142857142857,104.57142857142857,0.4818571428571429,0.37314285714285716,0.7749999999999998,37.57142857142857,14.714285714285714,4.0,0.5714285714285714,1.0,1495.7859138565868,-1,1.0,17.907806896569763,2.46,1
3,22017,2017-11-06,PHX,BKN,106.1,116.5,0.43629999999999997,0.3446,0.7708,46.8,16.6,5.4,0.4,0.5,1447.8558334427082,-2,1.0,16.55834768208276,1.96,114.33333333333333,119.33333333333333,0.4357777777777778,0.34500000000000003,0.7495555555555555,45.22222222222222,15.333333333333334,4.111111111111111,0.3333333333333333,0.0,1456.951679926253,-4,0.0,16.854211384263024,1.9,0
4,22017,2017-11-07,CLE,MIL,108.5,113.4,0.47280000000000005,0.33199999999999996,0.8141,42.4,15.8,4.4,0.4,0.3333333333333333,1462.3228360981525,-1,1.0,15.682456945813676,1.48,103.88888888888889,107.0,0.482,0.3933333333333333,0.7904444444444443,37.666666666666664,14.555555555555555,4.111111111111111,0.4444444444444444,0.5,1480.3114314412014,-3,0.0,19.783961068667796,2.77,1
5,22017,2017-11-07,DEN,BKN,106.0,106.3,0.45890000000000003,0.375,0.7243,44.9,15.2,4.0,0.5,0.6,1502.3528735459483,-1,1.0,16.067741551895658,1.13,112.7,116.6,0.4324,0.3355,0.7436,45.5,15.4,4.1,0.4,0.2,1464.427611957756,1,0.0,14.379947751693777,6.79,1
6,22017,2017-11-07,TOR,CHI,107.77777777777777,102.77777777777777,0.46599999999999997,0.30577777777777776,0.7807777777777778,41.77777777777778,14.555555555555555,5.888888888888889,0.5555555555555556,0.6666666666666666,1523.2735046227479,-1,1.0,16.36491810426292,1.14,91.875,98.25,0.39275,0.32475,0.790125,49.375,16.875,4.0,0.25,0.25,1465.8696179019191,-1,0.0,11.343100526885332,6.1,1
7,22017,2017-11-09,WAS,LAL,111.4,109.6,0.46109999999999995,0.3716,0.7529999999999999,42.9,14.9,4.8,0.5,0.4,1499.4757328241492,-1,0.0,20.075957424181706,1.19,106.9,107.2,0.47459999999999997,0.3039,0.7451,45.7,17.4,5.6,0.45454545454545453,0.25,1493.3227884814457,-1,1.0,16.37378274468138,5.04,1
8,22017,2017-11-11,SAS,CHI,101.2,102.5,0.44699999999999995,0.3759,0.7503999999999998,44.8,15.5,6.2,0.5833333333333334,0.7142857142857143,1510.6716881446546,-1,1.0,13.900418870063968,1.18,93.6,101.0,0.404,0.3236,0.7808999999999999,47.5,16.2,3.7,0.2,0.2,1446.254636141929,-3,0.0,17.126078307826422,5.23,1
9,22017,2017-11-11,HOU,MEM,109.9,102.8,0.4603999999999999,0.34529999999999994,0.8076000000000001,43.9,17.0,5.1,0.75,0.6,1557.9897911776343,4,0.0,17.30773186885323,1.37,101.3,98.7,0.44689999999999996,0.3437,0.7952,39.3,13.2,5.5,0.6363636363636364,0.6,1530.920965661331,1,1.0,16.790438273748542,3.31,1
10,22017,2017-11-13,NYK,CLE,108.6,104.4,0.49420000000000003,0.3504,0.7745,45.2,15.7,5.2,0.5833333333333334,0.75,1518.6244858201896,1,1.0,17.6955018040951,2.84,112.2,116.4,0.48310000000000014,0.3721,0.8043000000000001,40.4,15.5,3.8,0.46153846153846156,0.5,1472.76803107493,1,0.0,16.24737609555174,1.46,0
11,22017,2017-11-13,PHX,LAL,108.7,112.6,0.4441,0.33680000000000004,0.765,47.6,15.2,5.3,0.35714285714285715,0.375,1433.2762024543915,1,0.0,16.026240610567438,1.87,101.0,103.2,0.45200000000000007,0.26470000000000005,0.7301,47.1,18.1,6.0,0.38461538461538464,0.16666666666666666,1470.6069019994663,-3,1.0,14.881436239287257,1.98,0
