,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,PER_A,WINNER
0,GSW,1610612744,2018-10-26,128,100,0.586,0.485,0.833,39,14,6,0.8,0.5,1539.8482928264218,1477.0847415992882,19.31772577821296,1
1,NYK,1610612752,2018-10-26,100,128,0.433,0.333,0.75,40,20,1,0.2,0.5,1477.0847415992882,1539.8482928264218,21.508939473281373,0
2,PHI,1610612755,2018-10-27,105,103,0.385,0.357,0.833,56,11,8,0.4,1.0,1489.1858290875773,1520.8103183441888,19.29111927477877,1
3,CHA,1610612766,2018-10-27,103,105,0.389,0.257,0.833,48,9,8,0.5,0.5,1520.8103183441888,1489.1858290875773,20.895442128008494,0
4,CLE,1610612739,2018-10-27,107,119,0.465,0.28,0.909,39,18,2,0.0,0.0,1441.9717095784263,1525.5842758986673,15.009628275948979,0
5,IND,1610612754,2018-10-27,119,107,0.649,0.385,0.692,24,15,3,0.6,0.3333333333333333,1525.5842758986673,1441.9717095784263,15.229451745043153,1
6,MIL,1610612749,2018-10-27,113,91,0.5,0.333,0.913,57,21,7,1.0,1.0,1560.7203687939455,1472.9815540404581,18.42239487915216,1
7,ORL,1610612753,2018-10-27,91,113,0.327,0.233,0.882,41,11,6,0.4,0.5,1472.9815540404581,1560.7203687939455,12.992684096262845,0
8,LAC,1610612746,2018-10-28,136,104,0.544,0.552,0.615,57,15,9,0.6,0.6666666666666666,1516.9318187998454,1472.860881419096,14.614557501960372,1
9,WAS,1610612764,2018-10-28,104,136,0.392,0.185,0.821,45,14,3,0.2,0.3333333333333333,1472.860881419096,1516.9318187998454,15.625078278645956,0
10,UTA,1610612762,2018-10-28,113,104,0.525,0.4,0.864,43,18,6,0.6,1.0,1524.3969710920921,1481.0344478633108,18.459536755483978,1
11,DAL,1610612742,2018-10-28,104,113,0.418,0.321,0.76,43,13,3,0.4,1.0,1481.0344478633108,1524.3969710920921,16.636589651676967,0
12,PHI,1610612755,2018-10-29,113,92,0.414,0.298,0.944,64,19,9,0.5,1.0,1494.5930933256586,1484.3965078222416,16.73247229411355,1
13,ATL,1610612737,2018-10-29,92,113,0.372,0.216,0.667,47,15,3,0.4,0.3333333333333333,1484.3965078222416,1494.5930933256586,19.741986312343297,0
14,SAS,1610612759,2018-10-29,113,108,0.462,0.45,0.952,41,17,2,0.6,0.6666666666666666,1489.17802557942,1472.7950288703023,15.204969262579548,1
15,DAL,1610612742,2018-10-29,108,113,0.473,0.294,0.706,49,23,3,0.3333333333333333,0.0,1472.7950288703023,1489.17802557942,16.314684822393037,0
16,GSW,1610612744,2018-10-29,149,124,0.552,0.533,0.731,49,7,7,0.8571428571428571,0.75,1562.1366043151434,1470.8683957841506,20.81881964041164,1
17,CHI,1610612741,2018-10-29,124,149,0.489,0.314,0.618,44,9,3,0.3333333333333333,0.5,1470.8683957841506,1562.1366043151434,15.736092653303967,0
18,NYK,1610612752,2018-10-29,115,96,0.489,0.375,0.889,53,16,3,0.16666666666666666,0.3333333333333333,1460.8199296651485,1486.381941862317,17.949191087357736,1
19,BKN,1610612751,2018-10-29,96,115,0.405,0.289,0.773,32,10,7,0.3333333333333333,0.25,1486.381941862317,1460.8199296651485,13.723226113256764,0
20,MIA,1610612748,2018-10-29,113,123,0.413,0.333,0.706,52,18,9,0.6,0.6666666666666666,1523.200198835619,1491.4128195714147,17.30701153167107,0
21,SAC,1610612758,2018-10-29,123,113,0.495,0.462,0.6,46,14,8,0.5,0.3333333333333333,1491.4128195714147,1523.200198835619,18.713854623129173,1
22,POR,1610612757,2018-10-29,103,93,0.487,0.385,0.944,50,18,3,0.6,0.5,1518.3496513005334,1533.9157095026937,20.72724512315702,1
23,IND,1610612754,2018-10-29,93,103,0.411,0.316,0.65,35,9,5,0.6666666666666666,1.0,1533.9157095026937,1518.3496513005334,18.779958458948187,0
24,LAL,1610612747,2018-10-29,120,124,0.471,0.364,0.667,48,18,8,0.3333333333333333,0.3333333333333333,1495.2771673084512,1481.3104187339416,21.69800105031871,0
25,MIN,1610612750,2018-10-29,124,120,0.429,0.483,0.867,51,15,12,0.3333333333333333,0.6666666666666666,1481.3104187339416,1495.2771673084512,17.95038111115024,1
26,ORL,1610612753,2018-10-30,99,107,0.396,0.256,0.727,48,17,8,0.3333333333333333,0.3333333333333333,1460.6660391848966,1503.0326401111918,15.142783919513946,0
27,SAC,1610612758,2018-10-30,107,99,0.488,0.364,0.654,51,15,6,0.5714285714285714,0.5,1503.0326401111918,1460.6660391848966,20.295594061652558,1
28,POR,1610612757,2018-10-30,104,85,0.475,0.4,0.87,51,20,4,0.6666666666666666,0.6666666666666666,1529.3285156561167,1463.0083705639672,18.863093329922417,1
29,HOU,1610612745,2018-10-30,85,104,0.323,0.233,0.565,49,12,9,0.2,0.0,1463.0083705639672,1529.3285156561167,16.115556248945854,0
30,CLE,1610612739,2018-10-30,136,114,0.5,0.52,0.767,48,13,1,0.0,0.0,1433.6402759743999,1468.0792675844414,15.146202806094074,1
31,ATL,1610612737,2018-10-30,114,136,0.537,0.429,0.647,39,23,8,0.3333333333333333,0.25,1468.0792675844414,1433.6402759743999,13.749569325391874,0
32,MIA,1610612748,2018-10-30,113,125,0.471,0.393,0.833,34,15,5,0.5,0.5,1511.580378295842,1515.4030541061074,16.845593678070298,0
33,CHA,1610612766,2018-10-30,125,113,0.543,0.464,0.828,39,14,5,0.42857142857142855,0.5,1515.4030541061074,1511.580378295842,18.6503700171151,1
34,PHI,1610612755,2018-10-30,112,129,0.418,0.35,0.733,47,23,5,0.5714285714285714,0.0,1510.9103335634588,1547.6881981398808,19.811389024666802,0
35,TOR,1610612761,2018-10-30,129,112,0.511,0.407,0.857,43,16,6,0.8571428571428571,1.0,1547.6881981398808,1510.9103335634588,22.14306299568722,1
36,MEM,1610612763,2018-10-30,107,95,0.486,0.464,0.71,38,17,3,0.6,1.0,1509.241336389908,1453.5157421583576,13.20886403096412,1
37,WAS,1610612764,2018-10-30,95,107,0.432,0.4,0.85,37,20,7,0.16666666666666666,0.25,1453.5157421583576,1509.241336389908,17.639908976995486,0
38,OKC,1610612760,2018-10-30,128,110,0.511,0.529,0.719,41,17,6,0.2,0.3333333333333333,1467.2189024566637,1536.2769580605836,13.85361893769067,1
39,LAC,1610612746,2018-10-30,110,128,0.473,0.35,0.767,38,25,7,0.6666666666666666,0.5,1536.2769580605836,1467.2189024566637,18.22404453135633,0
40,GSW,1610612744,2018-10-31,131,121,0.528,0.5,0.7,46,17,4,0.875,1.0,1575.4154073557247,1516.6135440867133,26.606171231641877,1
41,NOP,1610612740,2018-10-31,121,131,0.478,0.343,0.778,42,16,2,0.6666666666666666,0.5,1516.6135440867133,1575.4154073557247,25.802538881568367,0
42,DAL,1610612742,2018-10-31,113,114,0.5,0.448,0.737,40,23,5,0.2857142857142857,0.0,1466.1760000295565,1488.6243645588022,15.42759777221954,0
43,LAL,1610612747,2018-10-31,114,113,0.512,0.588,0.75,39,20,6,0.2857142857142857,0.3333333333333333,1488.6243645588022,1466.1760000295565,22.919613497411063,1
44,CHI,1610612741,2018-10-31,107,108,0.424,0.471,0.722,43,14,6,0.2857142857142857,0.3333333333333333,1457.5895927435693,1542.8651915442026,15.981608783290579,0
45,DEN,1610612743,2018-10-31,108,107,0.455,0.269,0.611,56,16,9,0.8333333333333334,0.5,1542.8651915442026,1457.5895927435693,18.081243744010603,1
46,NYK,1610612752,2018-10-31,101,107,0.43,0.48,0.875,35,17,6,0.2857142857142857,0.5,1478.143134717209,1522.9368451471105,16.948232366708936,0
47,IND,1610612754,2018-10-31,107,101,0.542,0.3,0.647,41,15,10,0.5714285714285714,0.5,1522.9368451471105,1478.143134717209,16.07336445564504,1
48,PHX,1610612756,2018-10-31,90,120,0.389,0.25,0.778,35,15,3,0.16666666666666666,0.5,1441.2926847372437,1495.7970544201658,15.914982866832059,0
49,SAS,1610612759,2018-10-31,120,90,0.554,0.222,0.923,47,14,6,0.6666666666666666,0.5,1495.7970544201658,1441.2926847372437,16.676130651620635,1
50,DET,1610612765,2018-10-31,119,120,0.419,0.324,0.769,55,17,6,0.6666666666666666,0.5,1498.2868977089165,1469.0587368102565,14.60661905664107,0
51,BKN,1610612751,2018-10-31,120,119,0.426,0.316,0.733,55,16,3,0.2857142857142857,0.5,1469.0587368102565,1498.2868977089165,15.858436046783341,1
52,UTA,1610612762,2018-10-31,125,128,0.485,0.433,0.6,48,14,5,0.6666666666666666,1.0,1532.6363900851006,1487.9632214835906,17.170203323217088,0
53,MIN,1610612750,2018-10-31,128,125,0.581,0.48,0.667,41,16,8,0.42857142857142855,0.75,1487.9632214835906,1532.6363900851006,16.559789934811658,1
54,PHI,1610612755,2018-11-01,122,113,0.473,0.481,0.75,43,16,7,0.5,1.0,1498.1820993162512,1516.9930455581098,17.65265751285146,1
55,LAC,1610612746,2018-11-01,113,122,0.442,0.391,0.848,42,18,7,0.5714285714285714,0.3333333333333333,1516.9930455581098,1498.1820993162512,18.099872147201072,0
56,MIL,1610612749,2018-11-01,113,117,0.482,0.31,0.733,45,14,3,1.0,1.0,1585.886817064741,1531.1241052612818,20.720129393309776,0
57,BOS,1610612738,2018-11-01,117,113,0.446,0.436,0.846,42,13,8,0.7142857142857143,0.6666666666666666,1531.1241052612818,1585.886817064741,13.00800319824929,1
58,CLE,1610612739,2018-11-01,91,110,0.41,0.278,0.947,35,14,4,0.14285714285714285,0.25,1453.425576516568,1545.738479618,16.215040747482863,0
59,DEN,1610612743,2018-11-01,110,91,0.482,0.385,0.857,44,12,7,0.8571428571428571,0.6666666666666666,1545.738479618,1453.425576516568,17.397753129588846,1
60,NOP,1610612740,2018-11-01,119,132,0.426,0.276,0.838,44,13,3,0.5714285714285714,0.3333333333333333,1508.3638716885973,1541.5088885365553,18.005425947911558,0
61,POR,1610612757,2018-11-01,132,119,0.506,0.514,0.839,46,14,4,0.7142857142857143,0.6666666666666666,1541.5088885365553,1508.3638716885973,20.2185318877043,1
62,ATL,1610612737,2018-11-01,115,146,0.483,0.258,0.676,43,22,6,0.2857142857142857,0.5,1448.2939670422732,1510.7487428804977,14.55005099577111,0
63,SAC,1610612758,2018-11-01,146,115,0.541,0.4,0.813,46,14,3,0.625,0.6,1510.7487428804977,1448.2939670422732,18.53163161864551,1
64,OKC,1610612760,2018-11-01,111,107,0.427,0.216,0.724,49,10,9,0.3333333333333333,0.0,1486.5028149591376,1526.8761600972346,16.600127386077236,1
65,CHA,1610612766,2018-11-01,107,111,0.409,0.268,0.909,51,18,3,0.5,0.6666666666666666,1526.8761600972346,1486.5028149591376,19.215985498478737,0
66,MIN,1610612750,2018-11-02,99,116,0.376,0.289,0.714,39,5,4,0.5,0.0,1494.5024452014584,1583.6650797538407,17.702199571419285,0
67,GSW,1610612744,2018-11-02,116,99,0.489,0.382,0.773,61,16,9,0.8888888888888888,1.0,1583.6650797538407,1494.5024452014584,23.369730305172567,1
68,CHI,1610612741,2018-11-02,105,107,0.472,0.419,0.889,43,14,7,0.25,0.25,1454.716304669772,1529.4448902425343,17.777917962399112,0
69,IND,1610612754,2018-11-02,107,105,0.471,0.269,0.909,42,11,9,0.625,0.6,1529.4448902425343,1454.716304669772,16.193999511909915,1
70,TOR,1610612761,2018-11-02,107,98,0.506,0.364,0.619,39,14,10,0.875,0.5,1560.4164323870884,1423.601307040768,23.896812944304717,1
71,PHX,1610612756,2018-11-02,98,107,0.44,0.308,0.556,49,16,4,0.14285714285714285,0.3333333333333333,1423.601307040768,1560.4164323870884,16.857734475680914,0
72,HOU,1610612745,2018-11-02,119,111,0.494,0.385,0.688,41,9,10,0.16666666666666666,0.5,1450.8279976835286,1473.5447699887288,15.359203014504699,1
73,BKN,1610612751,2018-11-02,111,119,0.494,0.441,0.6,38,12,4,0.375,0.6666666666666666,1473.5447699887288,1450.8279976835286,14.819937127696896,0
74,ORL,1610612753,2018-11-02,95,120,0.444,0.235,0.579,40,10,4,0.2857142857142857,0.25,1452.9499364155906,1506.5759546911347,16.93592767535469,0
75,LAC,1610612746,2018-11-02,120,95,0.477,0.5,0.758,50,14,3,0.5,0.25,1506.5759546911347,1452.9499364155906,16.983284477772894,1
76,MEM,1610612763,2018-11-02,110,100,0.507,0.5,0.618,39,11,3,0.6666666666666666,0.3333333333333333,1518.6094134036537,1526.0971663672328,17.043556775543436,1
77,UTA,1610612762,2018-11-02,100,110,0.468,0.389,0.56,39,14,5,0.5714285714285714,0.0,1526.0971663672328,1518.6094134036537,16.4250898362864,0
78,NYK,1610612752,2018-11-02,118,106,0.548,0.241,0.731,40,12,4,0.25,0.0,1471.6350896217853,1462.4615866595473,17.903356523136615,1
79,DAL,1610612742,2018-11-02,106,118,0.494,0.379,0.625,40,19,1,0.25,0.6666666666666666,1462.4615866595473,1471.6350896217853,15.512698763771605,0
80,WAS,1610612764,2018-11-02,111,134,0.512,0.3,0.778,30,19,4,0.14285714285714285,0.0,1444.147665144612,1493.7943149483424,15.673695753424894,0
81,OKC,1610612760,2018-11-02,134,111,0.57,0.469,0.808,38,13,5,0.42857142857142855,0.3333333333333333,1493.7943149483424,1444.147665144612,17.278140278544146,1
82,DET,1610612765,2018-11-03,99,109,0.398,0.167,0.683,44,17,3,0.5714285714285714,0.3333333333333333,1493.8008645304442,1508.5991901832263,18.552448098585838,0
83,PHI,1610612755,2018-11-03,109,99,0.406,0.31,0.863,45,18,3,0.5555555555555556,1.0,1508.5991901832263,1493.8008645304442,18.354381008642385,1
84,SAS,1610612759,2018-11-03,109,95,0.469,0.348,0.786,43,9,4,0.7142857142857143,0.75,1513.4884321166414,1497.5628593574456,15.525978296159417,1
85,NOP,1610612740,2018-11-03,95,109,0.468,0.286,0.567,48,16,8,0.5,0.25,1497.5628593574456,1513.4884321166414,25.458713861473786,0
86,HOU,1610612745,2018-11-03,96,88,0.422,0.31,0.65,45,19,5,0.2857142857142857,0.6666666666666666,1460.679135662532,1451.122802190382,21.153528726260564,1
87,CHI,1610612741,2018-11-03,88,96,0.394,0.261,0.963,37,19,4,0.2222222222222222,0.2,1451.122802190382,1460.679135662532,15.528899146082962,0
88,POR,1610612757,2018-11-03,110,114,0.423,0.171,0.727,50,14,5,0.75,0.75,1552.309900867707,1492.3387779288114,18.498109117764432,0
89,LAL,1610612747,2018-11-03,114,110,0.523,0.381,0.64,50,20,11,0.375,0.25,1492.3387779288114,1552.309900867707,21.256242154444312,1
90,IND,1610612754,2018-11-03,102,101,0.419,0.344,0.76,45,13,2,0.6666666666666666,0.6666666666666666,1533.0383927219243,1538.7722099815956,18.13584465601063,1
91,BOS,1610612738,2018-11-03,101,102,0.432,0.413,0.667,45,14,8,0.75,0.75,1538.7722099815956,1533.0383927219243,15.300196073844692,0
92,MIA,1610612748,2018-11-03,118,123,0.482,0.4,0.769,41,18,6,0.42857142857142855,0.3333333333333333,1500.1072723047148,1430.7592094591191,15.853182545058223,0
93,ATL,1610612737,2018-11-03,123,118,0.523,0.406,0.783,37,18,7,0.25,0.3333333333333333,1430.7592094591191,1500.1072723047148,18.228683047976162,1
94,UTA,1610612762,2018-11-03,88,103,0.407,0.194,0.667,40,13,7,0.5,0.8,1515.432148319293,1556.6375498868538,16.261478319705763,0
95,DEN,1610612743,2018-11-03,103,88,0.494,0.321,0.632,48,17,0,0.875,1.0,1556.6375498868538,1515.432148319293,21.06329138225099,1
96,CLE,1610612739,2018-11-03,94,126,0.432,0.385,0.933,26,15,2,0.125,0.0,1442.5265062477142,1519.5846601080298,13.739172858525476,0
97,CHA,1610612766,2018-11-03,126,94,0.571,0.333,0.923,50,15,7,0.4444444444444444,0.5,1519.5846601080298,1442.5265062477142,17.971295659389433,1
98,ORL,1610612753,2018-11-04,117,110,0.505,0.375,0.722,43,9,4,0.25,0.3333333333333333,1437.3817912658133,1525.6065916267764,17.19372501351696,1
99,SAS,1610612759,2018-11-04,110,117,0.432,0.343,0.88,43,11,5,0.75,0.8,1525.6065916267764,1437.3817912658133,18.684302437126476,0
100,TOR,1610612761,2018-11-04,121,107,0.5,0.286,0.929,49,13,4,0.8888888888888888,0.6666666666666666,1565.903240269468,1500.117274617235,16.437943869695292,1
101,LAL,1610612747,2018-11-04,107,121,0.459,0.25,0.793,38,16,4,0.4444444444444444,0.5,1500.117274617235,1565.903240269468,18.84974498065517,0
102,MEM,1610612763,2018-11-04,100,102,0.474,0.304,0.724,30,13,3,0.7142857142857143,0.5,1529.2744314515935,1418.1144991583885,15.393988073666918,0
103,PHX,1610612756,2018-11-04,102,100,0.516,0.438,0.846,37,25,3,0.125,0.25,1418.1144991583885,1529.2744314515935,15.335802076188413,1
104,BKN,1610612751,2018-11-04,122,97,0.476,0.321,0.722,38,9,3,0.3333333333333333,0.5,1463.6936320097254,1518.4187138392679,15.078433824047876,1
105,PHI,1610612755,2018-11-04,97,122,0.477,0.2,0.756,46,28,1,0.6,0.0,1518.4187138392679,1463.6936320097254,16.92203555861094,0
106,POR,1610612757,2018-11-04,111,81,0.442,0.25,0.875,66,17,1,0.6666666666666666,0.6,1544.5314041792835,1484.2638767875137,16.23771898461091,1
107,MIN,1610612750,2018-11-04,81,111,0.312,0.233,0.762,38,11,4,0.4444444444444444,0.0,1484.2638767875137,1544.5314041792835,12.224889716100186,0
108,MIL,1610612749,2018-11-04,144,109,0.484,0.393,0.909,56,13,7,0.875,1.0,1578.2387123444273,1528.2835004636518,23.405671069942166,1
109,SAC,1610612758,2018-11-04,109,144,0.442,0.389,0.5,44,15,4,0.6666666666666666,0.6666666666666666,1528.2835004636518,1578.2387123444273,16.990029272507254,0
110,NYK,1610612752,2018-11-04,95,108,0.419,0.185,0.75,51,20,5,0.3333333333333333,0.25,1482.8816038473092,1429.236041481142,17.07615717205464,0
111,WAS,1610612764,2018-11-04,108,95,0.434,0.231,0.769,47,13,11,0.125,0.0,1429.236041481142,1482.8816038473092,19.028383425170855,1
112,GSW,1610612744,2018-11-05,117,101,0.506,0.542,0.957,46,13,4,0.9,1.0,1593.9036481677854,1522.3297389590703,24.68814536628868,1
113,MEM,1610612763,2018-11-05,101,117,0.458,0.333,0.762,30,10,8,0.625,0.4,1522.3297389590703,1593.9036481677854,15.270001731920818,0
114,CHI,1610612741,2018-11-05,116,115,0.453,0.267,0.733,48,19,9,0.2,0.25,1442.360148984692,1468.1182400394612,16.800084620174157,1
115,NYK,1610612752,2018-11-05,115,116,0.387,0.269,0.897,62,18,6,0.3,0.4,1468.1182400394612,1442.360148984692,15.529541076071538,0
